# Sun (G2V) in Context  Stellar Classification and Fundamental Parameters

| Parameter | Sun | Typical G2V range | Units | Measurement/definition |
|---|---:|---:|---|---|
| Spectral type | G2V | G0V–G5V | — | MK classification |
| Effective temperature | 5772 | 5600–6000 | K | Photospheric Teff |
| Luminosity | 1.00 | 0.6–1.5 | L☉ | Bolometric |
| Mass | 1.00 | 0.8–1.1 | M☉ | Stellar mass |
| Radius | 1.00 | 0.9–1.2 | R☉ | Photospheric radius |
| Surface gravity | 274 | 200–350 | m/s² | g at photosphere |
| Mean density | 1.41 | 1.0–1.6 | g/cm³ | Bulk density |
| Rotation period (equator) | 25.0 | 20–35 | days | Differential rotation |
| Age | 4.57 | 1–10 | Gyr | From meteoritic dating |
| Core temperature (model) | 1.57e7 | 1.3e7–1.7e7 | K | Standard solar model |
