# Leading Causes of Death by Disease Group (Adults, Country X, 2019) — Ranked Cause-of-Death Breakdown

| Rank | Cause of death (named disease/cause) | ICD-10 group (summary) | Deaths (count) | Share of all deaths (%) |
|---:|---|---|---:|---:|
| 1 | Ischemic heart disease | I20–I25 | 152,430 | 18.7 |
| 2 | Stroke (cerebrovascular diseases) | I60–I69 | 92,115 | 11.3 |
| 3 | Lung cancer (trachea/bronchus/lung) | C33–C34 | 61,840 | 7.6 |
| 4 | Chronic lower respiratory diseases (COPD) | J40–J47 | 54,270 | 6.7 |
| 5 | Alzheimer’s disease and other dementias | G30, F01–F03 | 48,905 | 6.0 |
| 6 | Diabetes mellitus | E10–E14 | 36,780 | 4.5 |
| 7 | Chronic liver disease and cirrhosis | K70, K73–K74 | 29,460 | 3.6 |
| 8 | Influenza and pneumonia | J09–J18 | 27,315 | 3.4 |
| 9 | Colorectal cancer | C18–C21 | 22,940 | 2.8 |
| 10 | Kidney disease (nephritis/nephrosis) | N00–N07, N17–N19, N25–N27 | 20,885 | 2.6 |
| 11 | Suicide (intentional self-harm) | X60–X84 | 18,210 | 2.2 |
| 12 | Road traffic injuries | V01–V99 | 16,540 | 2.0 |
| 13 | Hypertensive heart/renal disease | I10–I15 | 15,330 | 1.9 |
| 14 | Sepsis (septicemia) | A40–A41 | 14,920 | 1.8 |
| 15 | Breast cancer | C50 | 12,770 | 1.6 |
|  | **All causes (total)** |  | **815,000** | **100.0** |
