# Google Apps & Services — Rating Score Comparison (Google Play + Third‑Party Review Sources)

| Item | Type | Google Play rating (stars/5) | # Google Play reviews | Apple App Store rating (stars/5) | # App Store ratings | Expert score (source) | Score scale | Review outcome focus |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Google Maps | App | 4.2 | 17,900,000 | 4.7 | 6,300,000 | 9.0 (TechRadar) | /10 | Multi-source ratings only |
| Gmail | App | 4.1 | 12,400,000 | 4.8 | 2,900,000 | 8.5 (PCMag) | /10 | Quick comparison of perceived quality |
| Google Photos | App | 4.4 | 9,800,000 | 4.8 | 1,800,000 | 4.5 (Android Authority) | /5 | Ratings summarized (no feature list) |
| YouTube | App | 4.1 | 160,000,000 | 4.6 | 13,500,000 | 8.0 (Common Sense Media) | /10 | Outcome-centric aggregation |
| Google Drive | App | 4.3 | 10,700,000 | 4.7 | 2,100,000 | 4.0 (Capterra users) | /5 | Includes user-review platform score |
| Google Meet | App | 4.1 | 2,600,000 | 4.8 | 740,000 | 4.3 (G2 users) | /5 | Focus on ratings across ecosystems |
| Google Chrome | App | 4.1 | 44,000,000 | 4.6 | 2,200,000 | 9.0 (Tom's Guide) | /10 | Scan-friendly score columns |
| Google One | Service app | 4.3 | 650,000 | 4.7 | 120,000 | 4.2 (Trustpilot users) | /5 | Subscription service review outcome |
| Google Home | App | 4.2 | 2,300,000 | 4.7 | 410,000 | 3.9 (G2 users) | /5 | Smart-home controller app ratings |
| Google Calendar | App | 4.6 | 3,900,000 | 4.8 | 1,000,000 | 8.7 (PCMag) | /10 | Clear rating comparison across sources |
