# Dividend Safety & Income Screen — Yield, Coverage and Cash Distribution Metrics (Selected Tickers)

| Ticker | Company | Dividend Yield (Forward) | Payout Ratio (FCF) | Dividend Coverage (FCF / Dividends) | 10Y Dividend Growth (CAGR) | Consecutive Years Paying Dividends | Next Pay Date |
|---|---|---:|---:|---:|---:|---:|---|
| JNJ | Johnson & Johnson | 3.10% | 55% | 1.82x | 6.0% | 62 | 2025-03-04 |
| PG | Procter & Gamble | 2.50% | 65% | 1.54x | 5.1% | 134 | 2025-02-18 |
| KO | Coca-Cola | 3.00% | 72% | 1.39x | 4.8% | 62 | 2025-04-01 |
| PEP | PepsiCo | 2.80% | 66% | 1.52x | 7.1% | 52 | 2025-03-31 |
| XOM | Exxon Mobil | 3.40% | 48% | 2.08x | 3.2% | 41 | 2025-03-10 |
| CVX | Chevron | 4.10% | 58% | 1.72x | 4.5% | 37 | 2025-03-11 |
| MCD | McDonald's | 2.30% | 63% | 1.59x | 8.0% | 49 | 2025-03-15 |
| TXN | Texas Instruments | 3.00% | 78% | 1.28x | 13.0% | 21 | 2025-02-11 |
| DUK | Duke Energy | 4.50% | 80% | 1.25x | 2.1% | 98 | 2025-03-17 |
