# Academy Awards Hosts  How Often Each Person Hosted (Selected Hosts)

| Host | Times Hosted | First Hosting Year | Most Recent Hosting Year | Typical Format | Remarks |
| --- | ---:| ---:| ---:| --- | --- |
| Bob Hope | 19 | 1940 | 1978 | Solo | Record-setting repeat host across multiple decades |
| Billy Crystal | 9 | 1990 | 2012 | Solo | Frequent modern-era host with long gaps between runs |
| Johnny Carson | 5 | 1979 | 1987 | Solo | Major late-20th-century run |
| Whoopi Goldberg | 4 | 1994 | 2002 | Solo | Recurrent host across the 1990s–early 2000s |
| Jack Lemmon | 4 | 1958 | 1985 | Solo/Co-host | Appeared in both classic and later ceremonies |
| Jerry Lewis | 3 | 1956 | 1959 | Solo | Concentrated hosting streak in the 1950s |
| Steve Martin | 3 | 2001 | 2010 | Solo/Co-host | Includes years with shared hosting duties |
| David Niven | 3 | 1958 | 1974 | Solo | Multi-decade spread rather than consecutive years |
| Ellen DeGeneres | 2 | 2007 | 2014 | Solo | Hosted in two separate decades |
| Jon Stewart | 2 | 2006 | 2008 | Solo | Hosted twice in the mid-to-late 2000s |
