# Everyday Currencies Used in Asian Countries (Quick Country-to-Currency Reference)

| Region (Asia) | Country | Currency (Everyday Use) |
| --- | --- | --- |
| East Asia | China | Renminbi (Yuan) |
| East Asia | Japan | Japanese Yen |
| East Asia | South Korea | South Korean Won |
| East Asia | North Korea | North Korean Won |
| East Asia | Mongolia | Mongolian Tögrög |
| East Asia | Taiwan | New Taiwan Dollar |
| Southeast Asia | Thailand | Thai Baht |
| Southeast Asia | Vietnam | Vietnamese Đồng |
| Southeast Asia | Malaysia | Malaysian Ringgit |
| Southeast Asia | Singapore | Singapore Dollar |
| Southeast Asia | Indonesia | Indonesian Rupiah |
| Southeast Asia | Philippines | Philippine Peso |
| Southeast Asia | Cambodia | Cambodian Riel |
| Southeast Asia | Laos | Lao Kip |
| Southeast Asia | Myanmar | Myanmar Kyat |
| Southeast Asia | Brunei | Brunei Dollar |
| Southeast Asia | Timor-Leste | United States Dollar |
| South Asia | India | Indian Rupee |
| South Asia | Pakistan | Pakistani Rupee |
| South Asia | Bangladesh | Bangladeshi Taka |
| South Asia | Nepal | Nepalese Rupee |
| South Asia | Sri Lanka | Sri Lankan Rupee |
| South Asia | Bhutan | Bhutanese Ngultrum |
| South Asia | Maldives | Maldivian Rufiyaa |
| Central Asia | Kazakhstan | Kazakhstani Tenge |
| Central Asia | Uzbekistan | Uzbekistani Soʻm |
| Central Asia | Kyrgyzstan | Kyrgyzstani Som |
| Central Asia | Tajikistan | Tajikistani Somoni |
| Central Asia | Turkmenistan | Turkmenistani Manat |
| West Asia | Saudi Arabia | Saudi Riyal |
| West Asia | United Arab Emirates | UAE Dirham |
| West Asia | Qatar | Qatari Riyal |
| West Asia | Kuwait | Kuwaiti Dinar |
| West Asia | Bahrain | Bahraini Dinar |
| West Asia | Oman | Omani Rial |
| West Asia | Israel | Israeli New Shekel |
| West Asia | Jordan | Jordanian Dinar |
| West Asia | Iraq | Iraqi Dinar |
| West Asia | Iran | Iranian Rial |
| West Asia | Lebanon | Lebanese Pound |
| West Asia | Yemen | Yemeni Rial |
