# Beijing 2008 Olympic Games — Artistic Gymnastics Individual & Apparatus Gold Medal Winners

| Sport > Discipline | Event | Gold medalist | NOC | Notes |
|---|---|---|---|---|
| Gymnastics > Artistic (Men) | Men's All-Around | Yang Wei | CHN | Individual title |
| Gymnastics > Artistic (Men) | Men's Floor Exercise | Zou Kai | CHN | Apparatus final |
| Gymnastics > Artistic (Men) | Men's Pommel Horse | Xiao Qin | CHN | Apparatus final |
| Gymnastics > Artistic (Men) | Men's Rings | Chen Yibing | CHN | Apparatus final |
| Gymnastics > Artistic (Men) | Men's Vault | Tomasz Majewski | POL | Apparatus final |
| Gymnastics > Artistic (Men) | Men's Parallel Bars | Li Xiaopeng | CHN | Apparatus final |
| Gymnastics > Artistic (Men) | Men's Horizontal Bar | Zou Kai | CHN | Apparatus final |
| Gymnastics > Artistic (Women) | Women's All-Around | Nastia Liukin | USA | Individual title |
| Gymnastics > Artistic (Women) | Women's Vault | Hong Un-jong | PRK | Apparatus final |
| Gymnastics > Artistic (Women) | Women's Uneven Bars | He Kexin | CHN | Apparatus final |
| Gymnastics > Artistic (Women) | Women's Balance Beam | Shawn Johnson | USA | Apparatus final |
| Gymnastics > Artistic (Women) | Women's Floor Exercise | Sandra Izbașa | ROU | Apparatus final |
