# Elevations of Notable Lakes Worldwide (Above Mean Sea Level)

| Lake | Country/Region | Elevation (m) | Elevation (ft) |
| --- | --- | ---: | ---: |
| Lake Titicaca | Peru / Bolivia | 3,812 | 12,507 |
| Lake Victoria | Uganda / Kenya / Tanzania | 1,135 | 3,724 |
| Lake Baikal | Russia | 456 | 1,496 |
| Dead Sea | Israel / Palestine / Jordan | -430 | -1,411 |
| Lake Geneva | Switzerland / France | 372 | 1,220 |
| Lake Como | Italy | 198 | 650 |
| Lake Balaton | Hungary | 104 | 341 |
| Lake Sevan | Armenia | 1,900 | 6,234 |
| Lake Van | Turkey | 1,640 | 5,381 |
| Lake Ohrid | North Macedonia / Albania | 693 | 2,274 |
| Great Bear Lake | Canada | 156 | 512 |
| Lake Nicaragua | Nicaragua | 32 | 105 |
