# EU Accession Timeline — Member State Accession Year (Country-per-row, Year as Explicit Field)

| Country | EU Accession Year | Treaty/Context (Short) | Current EU Status |
|---|---:|---|---|
| Belgium | 1958 | Treaty of Rome / EEC start | Member |
| Netherlands | 1958 | Treaty of Rome / EEC start | Member |
| Luxembourg | 1958 | Treaty of Rome / EEC start | Member |
| France | 1958 | Treaty of Rome / EEC start | Member |
| Italy | 1958 | Treaty of Rome / EEC start | Member |
| Germany | 1958 | Treaty of Rome / EEC start | Member |
| Denmark | 1973 | First enlargement | Member |
| Ireland | 1973 | First enlargement | Member |
| United Kingdom | 1973 | First enlargement | Withdrew in 2020 |
| Greece | 1981 | Southern enlargement | Member |
| Spain | 1986 | Iberian enlargement | Member |
| Portugal | 1986 | Iberian enlargement | Member |
| Austria | 1995 | EFTA enlargement | Member |
| Sweden | 1995 | EFTA enlargement | Member |
| Finland | 1995 | EFTA enlargement | Member |
| Poland | 2004 | Big Bang enlargement | Member |
| Czech Republic | 2004 | Big Bang enlargement | Member |
| Slovakia | 2004 | Big Bang enlargement | Member |
| Hungary | 2004 | Big Bang enlargement | Member |
| Slovenia | 2004 | Big Bang enlargement | Member |
| Estonia | 2004 | Big Bang enlargement | Member |
| Latvia | 2004 | Big Bang enlargement | Member |
| Lithuania | 2004 | Big Bang enlargement | Member |
| Cyprus | 2004 | Big Bang enlargement | Member |
| Malta | 2004 | Big Bang enlargement | Member |
| Bulgaria | 2007 | 2007 enlargement | Member |
| Romania | 2007 | 2007 enlargement | Member |
| Croatia | 2013 | 2013 enlargement | Member |
