# English Football Clubs and Their Home Cities (Club–City Lookup)

| Club | Home City/Area | Country |
|---|---|---|
| Liverpool | Liverpool | England |
| Manchester United | Manchester | England |
| Manchester City | Manchester | England |
| Arsenal | London | England |
| Chelsea | London | England |
| Tottenham Hotspur | London | England |
| Everton | Liverpool | England |
| Newcastle United | Newcastle upon Tyne | England |
| Sunderland | Sunderland | England |
| West Ham United | London | England |
| Fulham | London | England |
| Norwich City | Norwich | England |
