# Beijing 2008 Olympic Games — Athletics Gold Medal Winners (Selected Events)

| Sport > Discipline | Event | Gold medalist | NOC | Result/Notes |
|---|---|---|---|---|
| Athletics > Track | Men's 100 m | Usain Bolt | JAM | 9.69 (WR) |
| Athletics > Track | Men's 200 m | Usain Bolt | JAM | 19.30 (WR) |
| Athletics > Track | Men's 400 m | LaShawn Merritt | USA | 43.75 |
| Athletics > Track | Men's 800 m | Wilfred Bungei | KEN | 1:44.65 |
| Athletics > Track | Men's 1500 m | Rashid Ramzi | BRN | 3:32.94 |
| Athletics > Track | Men's 5000 m | Kenenisa Bekele | ETH | 12:57.82 (OR) |
| Athletics > Track | Men's 10,000 m | Kenenisa Bekele | ETH | 27:01.17 (OR) |
| Athletics > Track | Men's Marathon | Samuel Wanjiru | KEN | 2:06:32 (OR) |
| Athletics > Track | Women's 100 m | Shelly-Ann Fraser | JAM | 10.78 |
| Athletics > Track | Women's 200 m | Veronica Campbell-Brown | JAM | 21.74 |
| Athletics > Track | Women's 400 m | Christine Ohuruogu | GBR | 49.62 |
| Athletics > Track | Women's 800 m | Pamela Jelimo | KEN | 1:54.87 (WR) |
| Athletics > Track | Women's 1500 m | Nancy Jebet Lagat | KEN | 4:00.23 |
| Athletics > Track | Women's Marathon | Constantina Diță | ROU | 2:26:44 |
| Athletics > Field | Men's Long Jump | Irving Saladino | PAN | 8.34 |
| Athletics > Field | Men's High Jump | Andrey Silnov | RUS | 2.36 |
| Athletics > Field | Women's Pole Vault | Yelena Isinbayeva | RUS | 5.05 (WR) |
