# 2008 - Structure Type - National Bridge Inventory - Bridge Inspection - Safety - Bridges & Structures - Federal Highway Administration

| State | ALABAMA | ALASKA | ARIZONA | ARKANSAS | CALIFORNIA | COLORADO | CONNECTICUT | DELAWARE | DIST. OF COL. | FLORIDA | GEORGIA | HAWAII | IDAHO | ILLINOIS | INDIANA | IOWA | KANSAS | KENTUCKY | LOUISIANA | MAINE | MARYLAND | MASSACHUSETTS | MICHIGAN | MINNESOTA | MISSISSIPPI | MISSOURI | MONTANA | NEBRASKA | NEVADA | NEW HAMPSHIRE | NEW JERSEY | NEW MEXICO | NEW YORK | NORTH CAROLINA | NORTH DAKOTA | OHIO | OKLAHOMA | OREGON | PENNSYLVANIA | RHODE ISLAND | SOUTH CAROLINA | SOUTH DAKOTA | TENNESSEE | TEXAS | UTAH | VERMONT | VIRGINIA | WASHINGTON | WEST VIRGINIA | WISCONSIN | WYOMING | PUERTO RICO | TOTALS |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Slab | 758 | 20 | 882 | 1,878 | 5,664 | 344 | 515 | 75 | 4 | 3,194 | 1,142 | 200 | 226 | 2,325 | 3,450 | 4,683 | 4,926 | 673 | 5,453 | 365 | 400 | 569 | 617 | 1,826 | 664 | 2,545 | 278 | 1,839 | 204 | 203 | 677 | 348 | 1,094 | 2,002 | 104 | 4,301 | 2,351 | 2,450 | 1,203 | 71 | 4,249 | 1,296 | 265 | 4,463 | 121 | 416 | 1,595 | 1,328 | 549 | 4,498 | 466 | 403 | 80,172 |
| Stringer /Multi-Beam or Girder | 5,651 | 654 | 1,267 | 4,276 | 3,833 | 3,834 | 2,173 | 367 | 130 | 5,094 | 5,304 | 284 | 2,026 | 7,699 | 6,217 | 13,198 | 9,478 | 3,679 | 4,222 | 1,190 | 2,614 | 2,887 | 5,055 | 5,479 | 7,232 | 13,063 | 3,499 | 8,394 | 235 | 1,362 | 3,719 | 1,476 | 9,886 | 9,362 | 1,701 | 11,553 | 12,385 | 3,053 | 8,312 | 430 | 2,841 | 2,117 | 5,315 | 22,196 | 1,513 | 1,545 | 6,859 | 3,079 | 2,890 | 6,534 | 1,491 | 1,080 | 249,733 |
| Girder & Floorbeam System | 271 | 15 | 32 | 75 | 89 | 88 | 51 | 8 | 31 | 37 | 41 | 40 | 55 | 195 | 146 | 198 | 486 | 123 | 189 | 56 | 93 | 140 | 122 | 259 | 112 | 275 | 93 | 402 | 14 | 38 | 241 | 6 | 498 | 222 | 17 | 480 | 195 | 104 | 722 | 12 | 18 | 27 | 24 | 78 | 19 | 56 | 100 | 124 | 301 | 131 | 47 | 40 | 7,236 |
| Tee Beam | 1,861 | 297 | 163 | 594 | 3,054 | 1,470 | 132 | 3 | 5 | 310 | 2,179 | 253 | 907 | 592 | 211 | 1,173 | 1,269 | 2,473 | 391 | 249 | 158 | 242 | 807 | 13 | 161 | 1,712 | 612 | 637 | 41 | 75 | 74 | 75 | 183 | 691 | 384 | 869 | 727 | 109 | 2,453 | 22 | 881 | 756 | 2,142 | 1,351 | 309 | 295 | 977 | 1,185 | 131 | 5 | 438 | 198 | 36,299 |
| Box Beam or Girders (Multiple) | 131 | 52 | 376 | 64 | 7,408 | 334 | 268 | 106 | 18 | 28 | 193 | 114 | 110 | 8,500 | 4,484 | 42 | 357 | 3,175 | 83 | 11 | 209 | 211 | 2,377 | 84 | 43 | 257 | 14 | 47 | 418 | 36 | 583 | 117 | 1,512 | 37 | 231 | 6,686 | 75 | 554 | 3,295 | 55 | 19 | 33 | 883 | 2,337 | 41 | 20 | 311 | 419 | 1,694 | 105 | 44 | 60 | 48,661 |
| Box Beam or Girders (Single or Spread) | 6 | 7 | 563 | 0 | 202 | 292 | 80 | 16 | 4 | 98 | 109 | 0 | 29 | 52 | 529 | 3 | 8 | 203 | 0 | 4 | 26 | 85 | 155 | 0 | 303 | 248 | 2 | 4 | 31 | 2 | 39 | 15 | 27 | 19 | 593 | 0 | 11 | 39 | 2,499 | 1 | 3 | 4 | 1,540 | 38 | 0 | 2 | 15 | 323 | 34 | 0 | 4 | 6 | 8,273 |
| Frame (Except Culverts) | 141 | 0 | 86 | 16 | 34 | 141 | 123 | 4 | 23 | 15 | 18 | 21 | 522 | 138 | 36 | 17 | 53 | 17 | 0 | 63 | 95 | 114 | 30 | 34 | 66 | 17 | 12 | 11 | 39 | 256 | 152 | 22 | 913 | 32 | 0 | 557 | 45 | 224 | 232 | 24 | 5 | 18 | 53 | 41 | 247 | 17 | 162 | 138 | 32 | 75 | 26 | 28 | 5,185 |
| Orthotropic | 0 | 9 | 1 | 427 | 3 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 0 | 0 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 5 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 2 | 465 |
| Truss-Deck | 3 | 6 | 7 | 11 | 58 | 6 | 6 | 1 | 0 | 1 | 2 | 2 | 7 | 11 | 10 | 6 | 14 | 10 | 2 | 5 | 9 | 17 | 7 | 4 | 0 | 7 | 10 | 2 | 1 | 3 | 6 | 5 | 34 | 1 | 0 | 22 | 9 | 38 | 51 | 0 | 0 | 2 | 7 | 19 | 2 | 8 | 10 | 31 | 17 | 14 | 3 | 4 | 511 |
