# Broadway Musicals Songlists and Quiz-Style Prompts (with Occasional Director Mentions)

| Broadway Musical | Song/Prompt | Answer Options | Correct Answer | Director (sometimes) | Category |
|---|---|---|---|---|---|
| Wicked | "Popular" is sung by… | Elphaba / Glinda / Nessa | Glinda | Joe Mantello (mentioned) | Quiz |
| Hamilton | "My Shot" theme relates to… | Ambition / Love / War | Ambition | (blank) | Quiz |
| The Lion King | Opening number is… | "Circle of Life" / "Hakuna Matata" | Circle of Life | Julie Taymor (mentioned) | Song |
| Chicago | "All That Jazz" is performed by… | Roxie / Velma / Billy | Velma | (blank) | Quiz |
| Rent | "Seasons of Love" measures… | Days / Minutes / Dollars | Minutes | Michael Greif (mentioned) | Quiz |
| Cabaret | Emcee signature song is… | "Wilkommen" / "Money" | Wilkommen | Sam Mendes (mentioned) | Song |
| Les Misérables | "I Dreamed a Dream" is sung by… | Fantine / Cosette / Éponine | Fantine | (blank) | Quiz |
| The Book of Mormon | Signature door-to-door number is… | "Hello!" / "I Believe" | Hello! | (blank) | Quiz |
| Hadestown | Orpheus sings about… | A song / A train / A ring | A song | Rachel Chavkin (mentioned) | Quiz |
| Fiddler on the Roof | "Tradition" introduces… | Family roles / Politics / Weather | Family roles | (blank) | Song |
| West Side Story | "Tonight" occurs… | at the dance / after the rumble | at the dance | Arthur Laurents (mentioned) | Quiz |
