# Nutrition Facts — Greek Yogurt (Plain, Nonfat), 170 g (1 container)

| Nutrient | Amount per serving (170 g) | Unit |
| --- | ---: | --- |
| Calories | 100 | kcal |
| Total Fat | 0.0 | g |
| Saturated Fat | 0.0 | g |
| Trans Fat | 0.0 | g |
| Cholesterol | 10 | mg |
| Sodium | 60 | mg |
| Total Carbohydrate | 6.0 | g |
| Dietary Fiber | 0.0 | g |
| Total Sugars | 6.0 | g |
| Added Sugars | 0.0 | g |
| Protein | 17.0 | g |
| Calcium | 200 | mg |
| Potassium | 240 | mg |
| Vitamin D | 0.0 | µg |
| Iron | 0.0 | mg |
