# Beijing 2008 Olympics — Aquatics & Gymnastics Gold Medal Winners (Selected Events)

| Sport | Discipline | Event | Gender | Gold medalist(s) | Nation | Performance | Notes (Beijing 2008 context) |
|---|---|---|---|---|---|---|---|
| Swimming | Freestyle | 100 m freestyle | Men | Alain Bernard | France | 47.21 | Beijing National Aquatics Center |
| Swimming | Freestyle | 200 m freestyle | Men | Park Tae-hwan | South Korea | 1:44.85 | Beijing National Aquatics Center |
| Swimming | Butterfly | 100 m butterfly | Men | Michael Phelps | United States | 50.58 | Beijing National Aquatics Center |
| Swimming | Butterfly | 200 m butterfly | Men | Michael Phelps | United States | 1:52.03 | Beijing National Aquatics Center |
| Swimming | Medley | 200 m individual medley | Men | Michael Phelps | United States | 1:54.23 | Beijing National Aquatics Center |
| Swimming | Freestyle | 400 m freestyle | Women | Stephanie Rice | Australia | 4:03.29 | Beijing National Aquatics Center |
| Swimming | Freestyle | 800 m freestyle | Women | Rebecca Adlington | Great Britain | 8:14.10 | Beijing National Aquatics Center |
| Swimming | Breaststroke | 200 m breaststroke | Women | Rebecca Soni | United States | 2:20.22 | Beijing National Aquatics Center |
| Artistic Gymnastics | Apparatus | Team all-around | Men | China (team) | China | 286.125 | Beijing National Indoor Stadium |
| Artistic Gymnastics | All-around | Individual all-around | Women | Nastia Liukin | United States | 63.325 | Beijing National Indoor Stadium |
