# LGND - price quote and stock analysis for Ligand Pharmaceuticals Incorporated, charts and rule 1

| Item Name | Equity (BVPS) | growth rate | Earnings BIT | growth rate | Avg.PE | growth rate | ROA | growth rate | ROE | growth rate | ROIC | growth rate | Cur. Ratio | growth rate | Quick Ratio | growth rate | Leverage | growth rate | Balance Sheet | Acct.Receivable | growth rate | Acct.Payable | growth rate | Cur.Assets | growth rate | Total Assets | growth rate | Cash | growth rate | Inventory | growth rate | Cur.Liabilities | growth rate | Liabilities | growth rate | LT Debt | growth rate | Equity | growth rate | Common Shares | growth rate | Cash Flow Statement | Capital Expenditures | growth rate | Cash Dividends | growth rate | Cash From OA | growth rate | FCF per Share | growth rate | Sale Purchase of Stock | growth rate | FCF | growth rate | Income Statement | Sales | growth rate | Op.Income | growth rate | IBT | growth rate | Net Income | growth rate | EPS | growth rate | Gross Profit | growth rate | R&D | growth rate |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Dec '04 | -6.11 |  | -44.91 |  | -46.30 |  | -14.25 |  | 36.10 |  |  |  | 0.80 |  | 0.66 |  |  |  | Dec '04 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 171.09 |  |  |  | 12.00 |  | Dec '04 | 3.60 |  | 0.00 |  | 5.75 |  | 0.18 |  |  |  | 2.00 |  | Dec '04 | 112.11 |  |  |  |  |  |  |  | -3.66 |  | 93.85 |  |  |  |
| Dec '05 | -8.90 | 0.0% | 36.34 | 100.0% | -17.00 | 0.0% | -11.25 | 0.0% | 36.70 | 1.7% |  |  | 0.57 | -28.8% | 0.46 | -30.3% |  |  | Dec '05 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 170.18 | -0.5% | -98.07 |  | 12.00 | 0.0% | Dec '05 | 35.60 | 888.9% | 0.00 |  | 8.37 | 45.6% | -0.86 | -100.0% |  |  | -27.00 | -100.0% | Dec '05 | 10.22 | -90.9% |  |  |  |  |  |  | -2.94 | 0.0% | 10.22 | -89.1% |  |  |
| Dec '06 | -15.15 | 0.0% | -174.27 | -100.0% | -15.70 | 0.0% | -9.91 | 0.0% | -142.60 | -100.0% |  |  | 1.38 | 142.1% | 1.07 | 132.6% | 11.92 |  | Dec '06 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 2.16 | -98.7% | 39.70 | 100.0% | 13.00 | 8.3% | Dec '06 | 1.78 | -95.0% | 0.00 |  | -138.52 | -100.0% | -3.44 | 0.0% |  |  | -140.00 | 0.0% | Dec '06 | 3.98 | -61.1% |  |  |  |  |  |  | -2.34 | 0.0% | 3.98 | -61.1% |  |  |
| Dec '07 | 1.85 | 100.0% | -53.46 | 0.0% | -20.90 | 0.0% | 112.83 | 100.0% | 997.71 | 100.0% | 572.76 |  | 2.16 | 56.5% | 1.85 | 72.9% | 5.95 | -50.1% | Dec '07 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 0.63 | -71.0% | 41.46 | 4.4% | 16.00 | 23.1% | Dec '07 | 0.44 | -75.3% | 252.74 |  | -97.73 | 0.0% | -6.00 | 0.0% |  |  | -98.00 | 0.0% | Dec '07 | 12.89 | 223.9% |  |  |  |  |  |  | 17.22 | 100.0% | 12.89 | 223.9% |  |  |
| Dec '08 | -0.66 | -100.0% | -97.52 | 0.0% | -3.20 | 0.0% | -56.92 | -100.0% | -1,046.50 | -100.0% | -786.06 | -100.0% | 1.33 | -38.4% | 1.31 | -29.2% |  |  | Dec '08 | 0.00 |  |  |  | 93.90 |  | 171.40 |  | 28.80 |  | 0.00 |  | 70.60 |  | 181.80 |  | 49.70 | 7,826.6% | 1.98 | -95.2% | 16.00 | 0.0% | Dec '08 | 0.40 | -9.1% | 0.00 | -100.0% | -20.63 | 0.0% | -1.33 | 0.0% |  |  | -21.00 | 0.0% | Dec '08 | 27.30 | 111.8% | -97.30 |  | -97.50 |  | -98.10 |  | -6.18 | -100.0% | 27.30 | 111.8% | 30.80 |  |
| Dec '09 | 0.19 | 100.0% | -9.87 | 0.0% | -34.50 | 0.0% | -1.24 | 0.0% | -69.00 | 0.0% |  |  | 1.31 | -1.5% | 1.22 | -6.9% | 37.88 | 152.3% | Dec '09 | 0.60 |  |  |  | 68.20 | -27.4% | 141.80 | -17.3% | 16.00 | -44.4% | 0.00 |  | 52.20 | -26.1% | 138.10 | -24.0% | 36.30 | -27.0% | 3.70 | 86.9% | 19.00 | 18.8% | Dec '09 | 0.40 | 0.0% | 0.00 |  | -33.80 | 0.0% | -1.82 | 0.0% |  |  | -34.00 | 0.0% | Dec '09 | 38.90 | 42.5% | -10.00 | 0.0% | -9.90 | 0.0% | -1.90 | 0.0% | -0.12 | 0.0% | 38.90 | 42.5% | 39.90 | 29.6% |
| Dec '10 | -0.25 | -100.0% | -15.40 | 0.0% | -15.00 | 0.0% | -9.54 | 0.0% | -365.80 | 0.0% |  |  | 1.11 | -15.3% | 1.08 | -11.5% |  |  | Dec '10 | 1.00 | 66.7% |  |  | 37.00 | -45.8% | 75.60 | -46.7% | 3.30 | -79.4% | 0.00 |  | 33.50 | -35.8% | 80.40 | -41.8% | 0.00 | -100.0% | 3.50 | -5.4% | 20.00 | 5.3% | Dec '10 | 0.70 | 75.0% | 0.00 |  | -27.07 | 0.0% | -1.38 | 0.0% |  |  | -27.00 | 0.0% | Dec '10 | 23.50 | -39.6% | -29.30 | 0.0% | -15.40 | 0.0% | -10.40 | 0.0% | -0.53 | 0.0% | 23.50 | -39.6% | 22.10 | -44.6% |
| Dec '11 | 0.12 | 100.0% | -2.95 | 0.0% | 22.99 | 100.0% | 10.28 | 100.0% | 536.00 | 100.0% | 35.28 | 100.0% | 0.74 | -33.3% | 0.67 | -38.0% | 14.15 | -38.9% | Dec '11 | 12.54 | 1,154.4% | 16.12 |  | 32.23 | -12.9% | 120.58 | 59.5% | 7.04 | 113.4% | 1.30 |  | 43.64 | 30.3% | 104.05 | 29.4% | 28.65 |  | 8.19 | 133.9% | 20.00 | 0.0% | Dec '11 | 0.08 | -88.9% | 0.00 |  | -1.17 | 0.0% | -0.42 | 0.0% | 0.00 |  | -1.00 | 0.0% | Dec '11 | 30.04 | 27.8% | 9.71 | 100.0% | -3.56 | 0.0% | 9.71 | 100.0% | 0.52 | 100.0% | 25.13 | 6.9% | 10.29 | -53.4% |
| Dec '12 | 1.31 | 991.7% | -3.87 | 0.0% | -118.50 | -100.0% | -0.47 | -100.0% | -3.00 | -100.0% | 3.76 | -89.3% | 0.67 | -9.5% | 0.60 | -10.5% | 3.94 | -72.2% | Dec '12 | 8.92 | -28.9% | 12.40 | -23.1% | 23.82 | -26.1% | 104.26 | -13.5% | 12.38 | 75.8% | 1.70 | 30.4% | 35.44 | -18.8% | 77.78 | -25.3% | 19.41 | -32.3% | 26.49 | 223.6% | 20.00 | 0.0% | Dec '12 | 0.60 | 662.8% | 0.00 |  | 0.16 | 100.0% | -0.02 | 0.0% | 6.42 | 100.0% | -0.40 | 0.0% | Dec '12 | 31.39 | 4.5% | -2.67 | -100.0% | -3.87 | 0.0% | -2.67 | -100.0% | -0.03 | -100.0% | 27.79 | 10.6% | 10.79 | 4.9% |
