# Blood Type Diet Compatibility (ABO)  Common Fruits and Their Status

| Food (Fruit) | A | B | AB | O |
|---|---|---|---|---|
| Pineapple | Recommended | Neutral | Recommended | Neutral |
| Grapefruit | Recommended | Avoid | Neutral | Recommended |
| Orange | Avoid | Neutral | Neutral | Avoid |
| Blueberries | Neutral | Recommended | Recommended | Neutral |
| Strawberries | Avoid | Neutral | Neutral | Avoid |
| Cherries | Recommended | Neutral | Recommended | Neutral |
| Watermelon | Neutral | Avoid | Avoid | Neutral |
| Banana | Avoid | Neutral | Neutral | Avoid |
| Mango | Neutral | Recommended | Neutral | Neutral |
| Lemon | Recommended | Neutral | Recommended | Recommended |
| Apple | Neutral | Neutral | Neutral | Neutral |
| Papaya | Recommended | Recommended | Recommended | Neutral |
