# iPod Model Families Compared by Key Hardware Era (Non-accessory, Lineup-focused)

| Model family | Representative generations included | Primary storage type | Screen | Click wheel / buttons | Notable purpose in lineup | Typical capacity range (by era) | Notes |
|---|---|---|---|---|---|---|---|
| iPod (Classic) | 1st–7th gen | Hard drive | Yes | Click wheel (most gens) | Main music library device | ~5GB to ~160GB | The "classic" umbrella for full-size HDD iPods |
| iPod mini | 1st–2nd gen | Hard drive | Yes | Click wheel | Compact HDD option (pre-nano) | ~4GB to ~6GB | Predecessor to nano line |
| iPod nano (tall) | 1st–2nd gen | Flash | Yes | Click wheel | Pocket flash music player | ~1GB to ~8GB | Early slim nano era |
| iPod nano (wide) | 3rd gen | Flash | Yes | Click wheel | Video-capable nano variant | ~4GB to ~8GB | Short, wide design shift |
| iPod nano (tall refresh) | 4th–5th gen | Flash | Yes | Click wheel | Return to tall form; video on later gen | ~8GB to ~16GB | 5th gen commonly associated with camera (region dependent) |
| iPod nano (square touch) | 6th gen | Flash | Yes | Touch + buttons | Fitness/clip-on touchscreen nano | ~8GB to ~16GB | No click wheel; small square display |
| iPod nano (7th gen) | 7th gen | Flash | Yes | Touch + home button | Final nano with larger screen | ~16GB | Last nano generation |
| iPod shuffle | 1st–4th gen | Flash | No | Buttons | Lowest-cost, screenless music | ~512MB to ~4GB | Multiple redesigns; clip-on common |
| iPod touch | 1st–7th gen | Flash | Yes (multi-touch) | Touchscreen | App-capable media device | ~8GB to ~256GB | iOS-based; generations align to major hardware updates |
| iPod (Photo / Video era) | 4th–5th gen subset | Hard drive | Yes | Click wheel | Transition to photo/video features | ~20GB to ~60GB+ | Often discussed as "Photo" (4th) and "Video" (5th) eras |
| iPod (U2 / Special Editions) | Various (subset) | Hard drive / flash | Yes (varies) | Varies | Cosmetic/special runs | Varies | Special editions are not separate lines but appear across generations |
