# Running Shoe Component Materials and Functional Effects (Research-Oriented Comparison)

| Component | Common Material / Technology | Typical Manufacturing Method | Primary Functional Goal | Notable Trade-offs | Durability Notes |
|---|---|---|---|---|---|
| Upper (mesh) | Engineered polyester mesh | Warp-knit / jacquard knit | Breathability and adaptive fit | Can stretch over time | Abrasion at toe flex point |
| Upper reinforcement | TPU film overlays / printed skins | Heat-bonding / screen print | Lockdown without heavy stitching | Reduced breathability where applied | Film can crack if repeatedly folded |
| Heel counter | Molded TPU cup | Injection molded insert | Rearfoot stability and shape retention | Can irritate Achilles if too rigid | Holds shape longer than foam counters |
| Midsole foam (EVA) | Compression-molded EVA | Compression molding | Balanced cushioning at low cost | Lower energy return vs PEBA | Compression set increases with mileage |
| Midsole foam (PEBA) | PEBA-based superfoam | Supercritical foaming | High rebound for racing efficiency | Often less stable laterally | Needs outsole coverage to protect |
| Plate / stiffener | Carbon composite plate | Prepreg layup + molding | Increase longitudinal stiffness, propulsion | Can feel harsh at easy pace | Plate itself rarely wears; foam around it does |
| Rock plate (trail) | Nylon / TPU sheet | Cut-and-form insert | Underfoot puncture protection | Adds weight, reduces ground feel | Withstands sharp rocks; can deform with heat |
| Outsole rubber | Carbon rubber (heel) + blown rubber (forefoot) | Press-molded pods | Grip + wear resistance | Carbon rubber is heavier, less tacky | Heel wear pattern depends on strike |
| Lugged outsole (trail) | Sticky rubber + deep lugs | Molded lug pattern | Traction on loose/wet surfaces | Lugs squirm on pavement | Lug edges round off on asphalt |
| Insole / sockliner | PU foam or EVA | Die-cut | Step-in comfort, minor fit tuning | Compresses quickly | Replaceable; affects perceived fit |
| Lacing system | Standard laces / ghillie loops | Sewn or webbing anchors | Midfoot lockdown | Pressure points if poorly placed | Eyelet tearing if reinforcement is weak |
| Collar lining | Microfiber / knit lining | Sewn lining | Comfort, reduce heel slip | Can retain moisture | Pilling and odor build-up over time |
