# Equity Ratings Grid (Classification Without Stock-by-Stock Movement)

| Ticker | Company | Analyst Rating | Rating Scale Description | Risk Bucket | Moat | Notes |
|---|---|---|---|---|---|---|
| AAPL | Apple Inc. | Buy | 1=Strong Buy, 5=Sell | Medium | Wide | Strong ecosystem |
| MSFT | Microsoft Corp. | Buy | 1=Strong Buy, 5=Sell | Low | Wide | Cloud leader |
| AMZN | Amazon.com Inc. | Hold | 1=Strong Buy, 5=Sell | High | Narrow | Margin uncertainty |
| TSLA | Tesla Inc. | Sell | 1=Strong Buy, 5=Sell | High | Narrow | Cyclical demand |
| JPM | JPMorgan Chase & Co. | Buy | 1=Strong Buy, 5=Sell | Medium | Narrow | Rate sensitivity |
| XOM | Exxon Mobil Corp. | Hold | 1=Strong Buy, 5=Sell | Medium | null | Commodity exposure |
| NVDA | NVIDIA Corp. | Buy | 1=Strong Buy, 5=Sell | High | Wide | AI cycle |
| KO | Coca-Cola Co. | Hold | 1=Strong Buy, 5=Sell | Low | Wide | Defensive |
| PFE | Pfizer Inc. | Sell | 1=Strong Buy, 5=Sell | Medium | null | Patent cliff |
| DIS | Walt Disney Co. | Hold | 1=Strong Buy, 5=Sell | Medium | Narrow | Streaming transition |
