# Stocks - Hot Stocks | Hot Stocks Losers

| Sym | HSIL.NS | NUCLEUS.NS | TITAN.NS | PHILIPCA.NS | IPCALAB.NS | GATI.NS | APLLTD.NS | BHARATGE.NS | KCPSUGIN.NS | METKORE.NS | OILCOUNT.NS | MICROSEC.NS | IOC.NS | SAIL.NS | SUTLEJTE.NS | AARTIDRU.NS | USHAMART.NS | BHEL.NS | CHENNPET.NS | MUNJALSH.NS | LGBFORGE.NS | CCCL.NS | MURUDCER.NS | KALPATPO.NS | GUJFLUOR.NS | MUKANDLT.NS | SKIPPER.NS | RAINBOWP.NS | KOTHARIE.NS | CASTROLI.NS | SIMPLEXI.NS | ASHOKA.NS | ELECTCAS.NS | BINDALAG.NS | ZUARI.NS | ASTRAL.NS | TGBHOTEL.NS | TATACHEM.NS | UTTAMVAL.NS | STERLINB.NS | MANAKSTE.NS | IDFC.NS | ORIENTBE.NS | ZEELEARN.NS | GAL.NS | ACE.NS | DIAPOWER.NS | SARLAPOL.NS | ONELIFEC.NS | TIIL.NS | MICRONS.NS | VLSFINAN.NS | JSWENERG.NS | TDPOWERS.NS | TRF.NS | RSWM.NS | COMPUSOF.NS | APOLLOTY.NS | SABTN.NS | ARCHIES.NS | CENTURYP.NS | HINDPETR.NS | CASTEXTE.NS | EUROCERA.NS | LGBBROSL.NS | VINATIOR.NS | CEREBRAI.NS | KRBL.NS | BPCL.NS | KEC.NS | SUMEETIN.NS | CLNINDIA.NS | VIJSHAN.NS | ELGIRUBC.NS | TATAPOWE.NS | GLOBALVE.NS | KNRCON.NS | HITECHPL.NS | JSWSTEEL.NS | RAMANEWS.NS | SHAKTIPU.NS | PARABDRU.NS | TECHNO.NS | KSK.NS | ASIANTIL.NS | UNITY.NS | DENORA.NS | FLEXITUF.NS | PRATIBHA.NS | ELECON.NS | EVERONN.NS | GTLINFRA.NS | UTTAMSTL.NS | PVP.NS | GRANULES.NS | LAMBODHA.NS | NCLIND.NS | SKMEGGPR.NS | ALLSEC.NS | MAHINDCI.NS |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Name | Hsil | Nucleus Software Exports Ltd | Titan Industries Ltd | Phillips Carbon Black Ltd | Ipca Laboratories Ltd | Gati Limited | Alembic Pharmaceuticals Limited | Bharat Gears Ltd | Kcp Sugar and Industries Corpora | Metkore Alloys & Industries Limited | Oil Country Tubular Ltd | Microsec Fin Serv Ltd | Indian Oil Corporation Ltd | Steel Authority of India Ltd | Sutlej Textiles and Industries | Aarti Drugs Ltd | Usha Martin Limited | Bharat Heavy Electricals Ltd | Chennai Petroleum Corporation Lt | Munjal Showa Ltd | Lgb Forge Limited | Consolidated Construction | Murudeshwar Ceramics Ltd | Kalpataru Power Transmission Ltd | Gujarat Fluorochemicals Ltd | Mukand Ltd. | Skipper Ltd | Rainbow Papers Ltd | Kothari Petrochem | Castrol India Ltd | Simplex Infrastructures Ltd | Ashoka Buildcon Ltd | Electrosteel Castings Ltd | Oswal Chemicals & Fertilizers Lt | Zuari Agro Chemicals Limited | Astral Poly Technik Limited | Tgb Banquets and Hotels Limited | Tata Chemicals Ltd | Uttam Value Steels Limited | Sterling Biotech Ltd | No Match | Infrastructure Development Finan | Orient Bell Limited | Zee Learn Limited | Gyscoal Alloys Ltd | Action Construction Equip | Diamond Power Infra Ltd | Sarla Performance Fibers | Onelife Capital Advisors Limited | Technocraft Industries [India] | 20 Microns | Vls Finance Ltd | Jsw Energy Limited | TD Power Systems Limited | Trf Limited | Rswm Ltd | Compucom Software Limited | Apollo Tyres Ltd | Sri Adhikari Brothers Tel | Archies Ltd | Century Extrusions Limited | Hindustan Petroleum Corporation |  | Euro Ceramics Ltd | Lg Balakrishnan & Bros Ltd | Vinati Organics Limited | Cerebra Integrated Technologies Limited | Krbl Ltd | Bharat Petroleum Corpn. Ltd | Kec Infrastructures Limited | Sumeet Ind Limited | Clariant Chemicals Ltd | Vijay Shanthi Builders Li | Elgi Rubber Company Limited | Tata Power Co. Ltd | Global Vectra Helicorp Li | Knr Constructions Limited | Hitech Plast Limited | Jsw Steel Ltd | Rama Newsprint and Papers Ltd | Shakti Pumps [India] Limited | Parabolic Drugs Ltd | Techno Elt & Eng Co. Ltd | Ksk Energy Ventures Limit | Asian Granito India Limit | Unity Infraprojects Limited | De Nora India Limited | Flexituff International Limited | Pratibha Industries Limited | Elecon Engineering Co Ltd | Everonn Systems India Lim | Gtl Infrastructure Limite | Uttam Galva Steels Ltd | Pvp Ventures | Granules India Limited | Lambodhara Textiles Ltd | Ncl Industries Limited | Skm Egg Products Export Ltd | Allsec Technologies Ltd | Mahindra Cie Automotive Ltd |
| Std Dev | -3.58 | -3.41 | -3.22 | -3.07 | -2.94 | -2.58 | -2.37 | -2.32 | -2.28 | -2.12 | -2.04 | -1.97 | -1.96 | -1.91 | -1.91 | -1.90 | -1.77 | -1.76 | -1.74 | -1.69 | -1.67 | -1.67 | -1.65 | -1.55 | -1.54 | -1.53 | -1.53 | -1.48 | -1.48 | -1.47 | -1.47 | -1.47 | -1.44 | -1.43 | -1.41 | -1.39 | -1.38 | -1.37 | -1.32 | -1.32 | -1.32 | -1.31 | -1.30 | -1.30 | -1.29 | -1.28 | -1.27 | -1.25 | -1.25 | -1.23 | -1.22 | -1.21 | -1.21 | -1.20 | -1.20 | -1.20 | -1.19 | -1.18 | -1.18 | -1.17 | -1.16 | -1.16 | -1.15 | -1.13 | -1.13 | -1.11 | -1.09 | -1.09 | -1.06 | -1.05 | -1.05 | -1.04 | -1.04 | -1.04 | -1.03 | -1.03 | -1.02 | -1.01 | -1.01 | -1.01 | -1.01 | -1.01 | -1.00 | -0.98 | -0.97 | -0.97 | -0.97 | -0.97 | -0.96 | -0.96 | -0.95 | -0.95 | -0.94 | -0.94 | -0.94 | -0.93 | -0.92 | -0.91 | -0.89 | -0.89 |
| Last | 301.650 | 283.700 | 323.650 | 132.950 | 676.250 | 179.900 | 710.100 | 79.250 | 15.550 | 3.050 | 32.950 | 119.600 | 431.350 | 56.200 | 534.400 | 713.250 | 17.850 | 278.350 | 191.900 | 207.050 | 5.850 | 4.150 | 21.750 | 271.300 | 709.200 | 37.300 | 168.200 | 68.950 | 21.050 | 491.150 | 372.550 | 185.150 | 21.200 | 56.800 | 193.300 | 371.700 | 68.600 | 490.000 | 4.000 | 6.100 | 7.900 | 149.900 | 182.200 | 34.850 | 50.300 | 49.300 | 39.650 | 592.100 | 34.450 | 177.400 | 28.800 | 55.400 | 84.300 | 296.950 | 410.750 | 351.700 | 9.350 | 202.550 | 295.050 | 30.050 | 208.550 | 921.650 | 177.100 | 5.400 | 442.600 | 551.700 | 13.950 | 187.900 | 926.750 | 145.850 | 11.150 | 820.100 | 10.050 | 25.850 | 68.450 | 132.300 | 574.150 | 116.550 | 831.450 | 13.700 | 184.750 | 9.500 | 533.750 | 42.100 | 107.650 | 14.850 | 190.150 | 225.200 | 47.550 | 87.450 | 29.500 | 2.350 | 34.400 | 5.050 | 114.200 | 928.150 | 82.400 | 139.300 | 36.100 | 261.500 |
| Change | -32.750 | -55.350 | -15.150 | -17.100 | -21.750 | -18.200 | -35.300 | -7.600 | -0.650 | -0.300 | -2.450 | -12.700 | -14.550 | -2.200 | -26.800 | -33.700 | -0.850 | -8.550 | -15.050 | -12.550 | -0.600 | -0.250 | -1.350 | -7.450 | -17.300 | -1.150 | -3.950 | -1.050 | -2.000 | -10.350 | -9.600 | -4.450 | -1.400 | -2.950 | -5.800 | -6.250 | -2.200 | -16.350 | -0.100 | -0.150 | -0.400 | -2.850 | -11.650 | -0.250 | -1.800 | -2.150 | -1.200 | -18.600 | -3.600 | -3.950 | -0.300 | -2.700 | -2.900 | -6.850 | -17.000 | -12.250 | -0.250 | -4.800 | -4.350 | -2.250 | -6.100 | -17.300 | -9.300 | -0.250 | -11.000 | -11.500 | -0.800 | -5.300 | -20.450 | -3.750 | -0.550 | -7.450 | -0.300 | -0.900 | -1.150 | -5.250 | -10.300 | -4.750 | -18.700 | -0.850 | -2.300 | -0.400 | -6.100 | -1.550 | -2.800 | -0.550 | -7.300 | -3.700 | -1.800 | -3.000 | -1.650 | -0.050 | -0.550 | -0.250 | -3.000 | -21.500 | -2.450 | -5.050 | -1.250 | -5.300 |
| Percent | -9.79% | -16.33% | -4.47% | -11.40% | -3.12% | -9.19% | -4.74% | -8.75% | -4.01% | -8.96% | -6.92% | -9.60% | -3.26% | -3.77% | -4.78% | -4.51% | -4.55% | -2.98% | -7.27% | -5.71% | -9.30% | -5.68% | -5.84% | -2.67% | -2.38% | -2.99% | -2.29% | -1.50% | -8.68% | -2.06% | -2.51% | -2.35% | -6.19% | -4.94% | -2.91% | -1.65% | -3.11% | -3.23% | -2.44% | -2.40% | -4.82% | -1.87% | -6.01% | -0.71% | -3.45% | -4.18% | -2.94% | -3.05% | -9.46% | -2.18% | -1.03% | -4.65% | -3.33% | -2.25% | -3.97% | -3.37% | -2.60% | -2.31% | -1.45% | -6.97% | -2.84% | -1.84% | -4.99% | -4.42% | -2.43% | -2.04% | -5.42% | -2.74% | -2.16% | -2.51% | -4.70% | -0.90% | -2.90% | -3.36% | -1.65% | -3.82% | -1.76% | -3.92% | -2.20% | -5.84% | -1.23% | -4.04% | -1.13% | -3.55% | -2.54% | -3.57% | -3.70% | -1.62% | -3.65% | -3.32% | -5.30% | -2.08% | -1.57% | -4.72% | -2.56% | -2.26% | -2.89% | -3.50% | -3.35% | -1.99% |
| High | 333.500 | 300.000 | 341.600 | 151.400 | 693.500 | 187.000 | 749.000 | 88.650 | 16.150 | 3.500 | 35.000 | 137.600 | 446.950 | 58.850 | 558.000 | 775.500 | 18.850 | 289.650 | 204.900 | 228.000 | 6.300 | 4.600 | 23.550 | 280.400 | 733.000 | 38.700 | 173.350 | 70.400 | 23.500 | 508.250 | 386.300 | 190.000 | 22.150 | 60.800 | 204.950 | 380.050 | 70.800 | 499.000 | 4.150 | 6.400 | 8.000 | 153.750 | 196.000 | 34.950 | 51.750 | 51.950 | 41.800 | 630.000 | 39.950 | 181.050 | 29.350 | 57.850 | 88.000 | 306.900 | 436.250 | 369.700 | 9.500 | 209.950 | 299.900 | 33.350 | 215.400 | 944.950 | 177.100 | 5.900 | 453.550 | 567.000 | 15.000 | 198.200 | 951.750 | 150.750 | 12.250 | 833.800 | 10.500 | 26.950 | 70.450 | 139.000 | 589.000 | 124.000 | 853.750 | 15.000 | 189.700 | 9.950 | 548.900 | 44.900 | 111.900 | 15.600 | 201.000 | 235.000 | 49.800 | 91.200 | 31.900 | 2.400 | 35.650 | 5.500 | 118.400 | 961.000 | 86.600 | 146.800 | 38.100 | 272.850 |
| Low | 299.000 | 275.300 | 320.350 | 130.100 | 670.100 | 179.000 | 600.000 | 77.500 | 15.500 | 3.050 | 32.250 | 110.000 | 428.100 | 56.000 | 522.100 | 691.100 | 17.700 | 277.250 | 189.700 | 205.250 | 5.850 | 4.100 | 21.500 | 268.050 | 694.000 | 37.000 | 167.500 | 68.950 | 20.300 | 490.000 | 370.250 | 182.000 | 20.100 | 56.800 | 192.000 | 369.000 | 67.750 | 487.650 | 3.950 | 5.850 | 7.900 | 149.250 | 178.200 | 34.600 | 49.000 | 48.600 | 39.350 | 532.200 | 34.250 | 177.000 | 28.500 | 55.200 | 83.800 | 296.200 | 403.050 | 343.050 | 9.150 | 200.100 | 290.000 | 29.100 | 207.500 | 915.250 | 177.100 | 5.400 | 439.900 | 543.000 | 13.500 | 184.650 | 917.950 | 142.150 | 11.150 | 818.100 | 9.900 | 25.500 | 68.150 | 130.700 | 572.550 | 114.650 | 825.400 | 13.450 | 183.600 | 9.400 | 525.100 | 42.000 | 107.300 | 14.700 | 187.900 | 222.000 | 47.050 | 87.050 | 29.300 | 2.300 | 34.000 | 5.000 | 113.600 | 921.000 | 81.400 | 138.000 | 35.300 | 260.000 |
| Time | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 | 07/31/15 |
| Links |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
