# Olympus Digital SLR Comparison Snapshot — Entry-to-Pro E-series Bodies

| Olympus DSLR model | Mount | Body class | Weather sealing | In-body stabilization | Live View | Typical kit lens pairing (example) | Notes |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Olympus E-1 | Four Thirds | Pro | Yes | No | No | Zuiko Digital 14-54mm | Early system flagship; robust controls |
| Olympus E-3 | Four Thirds | Pro | Yes | Yes | Yes | Zuiko Digital 12-60mm SWD | Pro sealed body; strong AF for its time |
| Olympus E-5 | Four Thirds | Pro | Yes | Yes | Yes | Zuiko Digital 12-60mm / 14-54mm II | Final flagship Four Thirds DSLR generation |
| Olympus E-30 | Four Thirds | Prosumer | Partial / limited | Yes | Yes | Zuiko Digital 14-54mm II | Advanced feature set below E-3 |
| Olympus E-620 | Four Thirds | Mid-range | No | Yes | Yes | Zuiko Digital 14-42mm | Compact midrange with articulated screen |
| Olympus E-520 | Four Thirds | Entry-level | No | Yes | Yes | Zuiko Digital 14-42mm | Incremental update over E-510 |
| Olympus E-510 | Four Thirds | Entry-level | No | Yes | Yes | Zuiko Digital 14-42mm | Popular early IBIS entry DSLR |
| Olympus E-420 | Four Thirds | Entry-level | No | No | Yes | Zuiko Digital 14-42mm | Very compact DSLR; no IBIS |
| Olympus E-410 | Four Thirds | Entry-level | No | No | Yes | Zuiko Digital 14-42mm | Compact body; early Live View era |
| Olympus E-330 | Four Thirds | Entry-level / early | No | No | Yes (early implementation) | Zuiko Digital 14-45mm | Noted for early Live View approach |
