# PGA Tour Leaderboard (Team Pair Aggregation Instead of Individual Golfers)

| Rank | Team/Pair | Players | Combined To-Par | Notes |
|---:|---|---|---:|---|
| 1 | Team Alpha | Rory McIlroy / Shane Lowry | -15 | Best-ball strength |
| 2 | Team Bravo | Scottie Scheffler / Sam Burns | -13 | Low bogey rate |
| T3 | Team Charlie | Xander Schauffele / Patrick Cantlay | -12 | Consistent ball-striking |
| T3 | Team Delta | Collin Morikawa / Max Homa | -12 | Iron play carries |
| 5 | Team Echo | Viktor Hovland / Ludvig Åberg | -11 | High birdie volatility |
| 6 | Team Foxtrot | Justin Thomas / Jordan Spieth | -10 | Short game upside |
| 7 | Team Golf | Tony Finau / Cameron Young | -9 | Aggressive lines |
| 8 | Team Hotel | Hideki Matsuyama / Tom Kim | -8 | Strong approach stats |
| 9 | Team India | Matt Fitzpatrick / Tyrrell Hatton | -7 | Steady |
| 10 | Team Juliet | Rickie Fowler / Gary Woodland | -6 | Streaky putting |
