# Central Bank Policy Rates (Snapshot Without Time Field)

| Country | Central Bank | Policy Rate Type | Policy Rate (%) | Corridor / Notes |
|---|---|---|---:|---|
| United States | Federal Reserve | Upper bound (FFR target range) | 5.50 | Target range system |
| Euro Area | European Central Bank | Deposit facility rate | 4.00 | DFR |
| United Kingdom | Bank of England | Bank Rate | 5.25 | Base rate |
| Japan | Bank of Japan | Short-term policy rate | -0.10 | Negative rate policy reference |
| Switzerland | Swiss National Bank | SNB policy rate | 1.75 | Single policy rate |
| Canada | Bank of Canada | Overnight rate target | 5.00 | Target for overnight rate |
| Australia | Reserve Bank of Australia | Cash rate target | 4.35 | Cash rate |
| India | Reserve Bank of India | Repo rate | 6.50 | Liquidity adjustment facility |
| Brazil | Central Bank of Brazil | Selic target | 11.75 | Monetary policy rate |
| South Africa | South African Reserve Bank | Repo rate | 8.25 | Main policy rate |
