# Selected Broadway Musicals and Their Directors (Original Broadway Productions)

| Musical (Broadway) | Director | Opening Year | Theatre (Original) | Composer / Music | Choreographer |
|---|---|---:|---|---|---|
| Hamilton | Thomas Kail | 2015 | Richard Rodgers Theatre | Lin-Manuel Miranda | Andy Blankenbuehler |
| The Book of Mormon | Casey Nicholaw; Trey Parker | 2011 | Eugene O'Neill Theatre | Trey Parker; Robert Lopez; Matt Stone | Casey Nicholaw |
| Wicked | Joe Mantello | 2003 | Gershwin Theatre | Stephen Schwartz | Wayne Cilento |
| Rent | Michael Greif | 1996 | Nederlander Theatre | Jonathan Larson | Marlies Yearby |
| Chicago (Revival) | Walter Bobbie | 1996 | Richard Rodgers Theatre | John Kander | Ann Reinking |
| Cats | Trevor Nunn | 1982 | Winter Garden Theatre | Andrew Lloyd Webber | Gillian Lynne |
| The Phantom of the Opera | Harold Prince | 1988 | Majestic Theatre | Andrew Lloyd Webber | Gillian Lynne |
| A Chorus Line | Michael Bennett | 1975 | Shubert Theatre | Marvin Hamlisch | Michael Bennett |
| Sweeney Todd: The Demon Barber of Fleet Street | Harold Prince | 1979 | Uris Theatre | Stephen Sondheim | Larry Fuller |
| Dear Evan Hansen | Michael Greif | 2016 | Music Box Theatre | Benj Pasek; Justin Paul | Danny Mefford |
