# USA (50 States) — Capitals and Largest Cities (Grouped by Census Region)

| Census Region | State | Capital City | Largest City |
|---|---|---|---|
| Northeast | Connecticut | Hartford | Bridgeport |
| Northeast | Maine | Augusta | Portland |
| Northeast | Massachusetts | Boston | Boston |
| Northeast | New Hampshire | Concord | Manchester |
| Northeast | Rhode Island | Providence | Providence |
| Northeast | Vermont | Montpelier | Burlington |
| Northeast | New Jersey | Trenton | Newark |
| Northeast | New York | Albany | New York City |
| Northeast | Pennsylvania | Harrisburg | Philadelphia |
| Midwest | Illinois | Springfield | Chicago |
| Midwest | Indiana | Indianapolis | Indianapolis |
| Midwest | Iowa | Des Moines | Des Moines |
| Midwest | Kansas | Topeka | Wichita |
| Midwest | Michigan | Lansing | Detroit |
| Midwest | Minnesota | Saint Paul | Minneapolis |
| Midwest | Missouri | Jefferson City | Kansas City |
| Midwest | Nebraska | Lincoln | Omaha |
| Midwest | North Dakota | Bismarck | Fargo |
| Midwest | Ohio | Columbus | Columbus |
| Midwest | South Dakota | Pierre | Sioux Falls |
| Midwest | Wisconsin | Madison | Milwaukee |
| South | Alabama | Montgomery | Birmingham |
| South | Arkansas | Little Rock | Little Rock |
| South | Delaware | Dover | Wilmington |
| South | Florida | Tallahassee | Jacksonville |
| South | Georgia | Atlanta | Atlanta |
| South | Kentucky | Frankfort | Louisville |
| South | Louisiana | Baton Rouge | New Orleans |
| South | Maryland | Annapolis | Baltimore |
| South | Mississippi | Jackson | Jackson |
| South | North Carolina | Raleigh | Charlotte |
| South | Oklahoma | Oklahoma City | Oklahoma City |
| South | South Carolina | Columbia | Charleston |
| South | Tennessee | Nashville | Nashville |
| South | Texas | Austin | Houston |
| South | Virginia | Richmond | Virginia Beach |
| South | West Virginia | Charleston | Charleston |
| West | Alaska | Juneau | Anchorage |
| West | Arizona | Phoenix | Phoenix |
| West | California | Sacramento | Los Angeles |
| West | Colorado | Denver | Denver |
| West | Hawaii | Honolulu | Honolulu |
| West | Idaho | Boise | Boise |
| West | Montana | Helena | Billings |
| West | Nevada | Carson City | Las Vegas |
| West | New Mexico | Santa Fe | Albuquerque |
| West | Oregon | Salem | Portland |
| West | Utah | Salt Lake City | Salt Lake City |
| West | Washington | Olympia | Seattle |
| West | Wyoming | Cheyenne | Cheyenne |
