# Football Clubs by City (Selected English Cities)

| City | Country | Associated football clubs (examples) | Stadiums (primary) |
|---|---|---|---|
| London | England | Arsenal; Chelsea; Tottenham Hotspur; West Ham United; Crystal Palace; Fulham; Brentford; Queens Park Rangers; Millwall; Charlton Athletic | Emirates Stadium; Stamford Bridge; Tottenham Hotspur Stadium; London Stadium; Selhurst Park |
| Manchester | England | Manchester City; Manchester United | Etihad Stadium; Old Trafford |
| Liverpool | England | Liverpool; Everton | Anfield; Goodison Park |
| Birmingham | England | Aston Villa; Birmingham City; West Bromwich Albion | Villa Park; St Andrew's; The Hawthorns |
| Newcastle upon Tyne | England | Newcastle United; Gateshead | St James' Park; Gateshead International Stadium |
| Leeds | England | Leeds United; Guiseley | Elland Road; Nethermoor Park |
| Sheffield | England | Sheffield United; Sheffield Wednesday | Bramall Lane; Hillsborough |
| Nottingham | England | Nottingham Forest; Notts County | City Ground; Meadow Lane |
| Norwich | England | Norwich City | Carrow Road |
| Swansea | Wales | Swansea City | Swansea.com Stadium |
