# Model Portfolio Allocation by Sector and Asset Class (Sample 60 40)

| Bucket | Instrument Type | Example Vehicle | Target Weight | Rebalance Band | Rationale |
|---|---|---|---:|---:|---|
| U.S. Large Cap | ETF | IVV | 25% | ±3% | Core equity exposure |
| U.S. Small Cap | ETF | IWM | 10% | ±2% | Size diversification |
| International Developed | ETF | EFA | 15% | ±2% | Geographic diversification |
| Emerging Markets | ETF | VWO | 5% | ±1% | Growth exposure |
| Investment-Grade Bonds | ETF | AGG | 25% | ±3% | Stability and income |
| TIPS | ETF | TIP | 5% | ±1% | Inflation hedge |
| REITs | ETF | VNQ | 5% | ±1% | Real assets |
| Commodities | ETF | DBC | 3% | ±1% | Diversifier |
| Cash | Cash | Money Market | 7% | ±2% | Liquidity |
| Total | — | — | 100% | — | Balanced portfolio |
