# All-Time Top Grossing Movies Worldwide (Single Total Gross per Film)

| Rank | Movie Title | Release Year | Total Box Office (Worldwide) |
|---:|---|---:|---:|
| 1 | Avatar | 2009 | $2,923,000,000 |
| 2 | Avengers: Endgame | 2019 | $2,799,000,000 |
| 3 | Titanic | 1997 | $2,264,000,000 |
| 4 | Star Wars: The Force Awakens | 2015 | $2,071,000,000 |
| 5 | Avengers: Infinity War | 2018 | $2,048,000,000 |
| 6 | Spider-Man: No Way Home | 2021 | $1,922,000,000 |
| 7 | Jurassic World | 2015 | $1,671,000,000 |
| 8 | The Lion King (2019) | 2019 | $1,663,000,000 |
| 9 | The Avengers | 2012 | $1,519,000,000 |
| 10 | Furious 7 | 2015 | $1,516,000,000 |
| 11 | Top Gun: Maverick | 2022 | $1,496,000,000 |
| 12 | Frozen II | 2019 | $1,450,000,000 |
