# Endocrine Disorders Linked to Hormone Excess Deficiency (Clinical Focus)

| Condition | Hormone Involved | Status (High/Low) | Typical Lab Pattern | Key Symptoms (Clinical) | Common Treatment |
| --- | --- | --- | --- | --- | --- |
| Type 1 diabetes mellitus | Insulin | Low | Low insulin; high glucose | Polyuria, polydipsia, weight loss | Insulin replacement |
| Cushing syndrome | Cortisol | High | Elevated cortisol; low ACTH (some cases) | Central obesity, bruising, hypertension | Surgery; steroidogenesis inhibitors |
| Addison disease | Cortisol/Aldosterone | Low | Low cortisol; high ACTH | Fatigue, hypotension, hyperpigmentation | Glucocorticoid + mineralocorticoid |
| Hyperthyroidism (Graves) | T3/T4 | High | High T3/T4; low TSH | Heat intolerance, tremor, tachycardia | Antithyroid drugs; radioiodine |
| Hypothyroidism (Hashimoto) | T3/T4 | Low | Low T4; high TSH | Cold intolerance, weight gain | Levothyroxine |
| SIADH | Vasopressin (ADH) | High | Low serum osmolality; concentrated urine | Confusion, seizures (severe) | Fluid restriction; vaptans |
| Diabetes insipidus (central) | Vasopressin (ADH) | Low | Dilute urine; high serum osmolality | Polyuria, polydipsia | Desmopressin |
| Hyperparathyroidism | PTH | High | High calcium; high/normal PTH | Kidney stones, bone pain | Parathyroidectomy |
| Hypoparathyroidism | PTH | Low | Low calcium; low PTH | Tetany, tingling | Calcium + calcitriol |
| Hyperprolactinemia | Prolactin | High | High prolactin | Galactorrhea, amenorrhea | Dopamine agonists |
