# Retail Market Snapshot for Household Chemical Brands (No Ingredient Strength)

| Company/Brand | Segment | Example Products | 1Y Revenue Growth | Avg. Unit Price (USD) | Distribution Channels |
| --- | --- | --- | --- | --- | --- |
| Brand A HomeCare | Surface cleaners | Multi-surface spray | +6.2% | 4.99 | Grocery, online |
| BrightBleach Co. | Bleach/disinfectants | Chlorine bleach | -1.4% | 3.49 | Mass retail |
| DrainPro | Drain openers | Caustic gel | +3.1% | 7.99 | Hardware, online |
| FreshScent | Air care | Room spray | +8.7% | 5.49 | Grocery |
| DishSpark | Dishwashing | Dish liquid | +2.9% | 3.99 | Grocery |
| LaundryMax | Laundry | Detergent pods | +5.5% | 12.99 | Mass retail |
| BathShield | Bathroom | Toilet bowl cleaner | +4.0% | 4.29 | Grocery |
| WindowWave | Glass | Glass cleaner | +1.8% | 3.79 | Grocery |
| FloorGlow | Floor care | Floor cleaner | +2.2% | 6.49 | Mass retail |
| EcoHome | Green cleaners | Plant-based cleaner | +9.3% | 6.99 | Online, specialty |
