# EU Enlargement Waves (Accession Year by Member State)

| Accession wave | Accession year | Countries (joined the EU) |
|---|---:|---|
| Founding members | 1958 | Belgium; France; Germany (West Germany); Italy; Luxembourg; Netherlands |
| First enlargement | 1973 | Denmark; Ireland; United Kingdom |
| Southern enlargement (Greece) | 1981 | Greece |
| Southern enlargement (Iberia) | 1986 | Portugal; Spain |
| EFTA enlargement | 1995 | Austria; Finland; Sweden |
| Big Bang enlargement | 2004 | Cyprus; Czech Republic; Estonia; Hungary; Latvia; Lithuania; Malta; Poland; Slovakia; Slovenia |
| Bulgaria & Romania | 2007 | Bulgaria; Romania |
| Croatia | 2013 | Croatia |
| Brexit (left the EU) | 2020 | United Kingdom (membership ended 31 Jan 2020) |
