# Tokyo (Capital of Japan) — Sightseeing Attractions with Access Info

| Attraction | Category | Address (Tokyo) | Nearest Station/Line | Distance from Tokyo Station (km) | Typical Visit Time |
|---|---|---|---|---:|---|
| Senso-ji Temple (Asakusa) | Temple | 2-3-1 Asakusa, Taito City, Tokyo | Asakusa Sta. (Ginza Line / Asakusa Line) | 5.6 | 1–2 h |
| Tokyo Skytree | Observation Tower | 1-1-2 Oshiage, Sumida City, Tokyo | Oshiage Sta. (Hanzomon Line) | 6.4 | 1.5–3 h |
| Meiji Jingu Shrine | Shrine | 1-1 Yoyogikamizonocho, Shibuya City, Tokyo | Harajuku Sta. (JR Yamanote) | 6.6 | 1–2 h |
| Shinjuku Gyoen National Garden | Park/Garden | 11 Naitocho, Shinjuku City, Tokyo | Shinjuku-gyoemmae (Marunouchi Line) | 6.0 | 1.5–3 h |
| Tokyo National Museum | Museum | 13-9 Uenokoen, Taito City, Tokyo | Ueno Sta. (JR) | 3.4 | 2–4 h |
| Ueno Park | Park | Uenokoen, Taito City, Tokyo | Ueno Sta. (JR) | 3.2 | 1–3 h |
| Imperial Palace East Gardens | Historic Site/Park | 1-1 Chiyoda, Chiyoda City, Tokyo | Otemachi Sta. (multiple lines) | 1.3 | 1–2 h |
| teamLab Planets TOKYO | Museum/Interactive | 6-1-16 Toyosu, Koto City, Tokyo | Shin-Toyosu (Yurikamome) | 4.2 | 1.5–2.5 h |
| Tokyo Tower | Landmark | 4-2-8 Shibakoen, Minato City, Tokyo | Akabanebashi (Oedo Line) | 3.1 | 1–2 h |
