# Let It Ride - analysis and expert strategy - Wizard of Odds

| Hand | Royal flush | Straight flush | Four of a kind | Full house | Flush | Straight | Three of a kind | Two pair | Tens or better | House edge |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Table 1 | 20000 | 2000 | 100 | 75 | 50 | 25 | 9 | 6 | 0 | 13.77% |
| Table 2 | 20000 | 1000 | 100 | 75 | 50 | 25 | 4 | 3 | 1 | 23.73% |
| Table 3 | 20000 | 2000 | 100 | 75 | 50 | 25 | 8 | 4 | 0 | 25.39% |
| Table 4 | 20000 | 2000 | 400 | 200 | 50 | 25 | 5 | 0 | 0 | 25.53% |
| Table 5 | 20000 | 1000 | 400 | 200 | 50 | 25 | 5 | 0 | 0 | 26.92% |
| Table 6 | 10000 | 2000 | 100 | 75 | 50 | 25 | 8 | 4 | 0 | 26.93% |
| Table 7 | 20000 | 2000 | 300 | 150 | 50 | 25 | 5 | 0 | 0 | 35.14% |
| Table 8 | 20000 | 1000 | 300 | 150 | 50 | 25 | 5 | 0 | 0 | 36.52% |
| Table 9 | 25000 | 2500 | 400 | 200 | 50 | 25 | 5 | 0 | 0 | 24.07% |
