# Do pitchers win the expected number of games

| Pitcher | Mike Torrez | Lew Burdette | Joe Niekro | Bob Welch | Burleigh Grimes | Rick Wise | Earl Whitehill | Milt Pappas | Jack Morris | Orel Hershiser | Jerry Reuss | Bucky Walters | Freddie Fitzsimmons | Sad Sam Jones | Dennis Martinez | Tommy John | Ted Lyons | Juan Marichal | Eppa Rixey | Early Wynn | Charlie Hough | Jim Kaat | Mel Harder | Catfish Hunter | Mickey Lolich | Steve Carlton | Vida Blue | Phil Niekro | Bob Feller | Doyle Alexander | Jim Perry | Tom Seaver | Curt Simmons | Jerry Koosman | Claude Osteen | Jesse Haines | Whitey Ford | Danny Darwin | Robin Roberts | Luis Tiant | Rick Reuschel | Larry Jackson | Don Sutton | Lefty Grove | Jim Palmer | Tom Zachary | Frank Tanana | Paul Derringer | Nolan Ryan | Bobo Newsom | Dutch Leonard | Roger Clemens | Ferguson Jenkins | Jim Bunning | Greg Maddux | Bob Gibson | Gaylord Perry | Bob Friend | Waite Hoyt | Murry Dickson | Don Drysdale | Warren Spahn | Charlie Root | Carl Hubbell | Larry French | Bert Blyleven | Billy Pierce | Red Ruffing | Dolf Luque | Dennis Eckersley |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| W | 185 | 203 | 221 | 211 | 236 | 188 | 218 | 209 | 254 | 204 | 220 | 198 | 217 | 197 | 245 | 288 | 260 | 243 | 190 | 300 | 216 | 283 | 223 | 224 | 217 | 329 | 209 | 318 | 266 | 194 | 215 | 311 | 193 | 222 | 196 | 210 | 236 | 171 | 286 | 229 | 214 | 194 | 324 | 300 | 268 | 183 | 240 | 223 | 324 | 211 | 191 | 260 | 284 | 224 | 240 | 251 | 314 | 197 | 233 | 172 | 209 | 363 | 201 | 253 | 197 | 287 | 211 | 273 | 178 | 197 |
| L | 160 | 144 | 204 | 146 | 173 | 181 | 185 | 164 | 186 | 150 | 191 | 160 | 146 | 181 | 193 | 231 | 230 | 142 | 170 | 244 | 216 | 237 | 186 | 166 | 191 | 244 | 161 | 274 | 162 | 174 | 174 | 205 | 183 | 209 | 195 | 158 | 106 | 182 | 245 | 172 | 191 | 183 | 256 | 141 | 152 | 186 | 236 | 212 | 292 | 222 | 181 | 142 | 226 | 184 | 135 | 174 | 265 | 230 | 176 | 181 | 166 | 245 | 160 | 154 | 171 | 250 | 169 | 225 | 172 | 171 |
| R/G | 4.44 | 4.11 | 4.07 | 3.81 | 4.48 | 4.19 | 5.10 | 3.76 | 4.27 | 3.93 | 4.17 | 3.89 | 4.20 | 4.74 | 4.13 | 3.85 | 4.45 | 3.41 | 4.09 | 4.02 | 4.28 | 4.05 | 4.50 | 3.60 | 3.80 | 3.67 | 3.65 | 3.89 | 3.66 | 4.12 | 3.85 | 3.15 | 4.17 | 3.77 | 3.73 | 4.37 | 3.14 | 4.27 | 3.77 | 3.61 | 3.79 | 3.88 | 3.58 | 3.64 | 3.18 | 4.47 | 4.10 | 4.08 | 3.64 | 4.57 | 4.00 | 3.40 | 3.71 | 3.66 | 3.24 | 3.29 | 3.58 | 4.12 | 4.28 | 4.22 | 3.39 | 3.46 | 4.13 | 3.46 | 4.11 | 3.67 | 3.61 | 4.39 | 3.95 | 3.79 |
| RS | 4.38 | 4.49 | 3.97 | 4.29 | 4.94 | 4.05 | 5.26 | 4.04 | 4.78 | 4.40 | 4.31 | 4.19 | 4.95 | 4.81 | 4.54 | 4.21 | 4.64 | 4.40 | 4.28 | 4.42 | 4.25 | 4.40 | 4.92 | 4.17 | 4.05 | 4.27 | 4.17 | 4.20 | 4.71 | 4.37 | 4.31 | 3.91 | 4.33 | 3.95 | 3.80 | 5.13 | 4.81 | 4.23 | 4.17 | 4.28 | 4.12 | 4.10 | 4.16 | 5.54 | 4.41 | 4.59 | 4.29 | 4.34 | 3.99 | 4.63 | 4.28 | 4.83 | 4.34 | 4.24 | 4.56 | 4.17 | 4.12 | 4.03 | 5.24 | 4.38 | 4.08 | 4.52 | 5.00 | 4.88 | 4.83 | 4.34 | 4.50 | 5.44 | 4.51 | 4.60 |
| PCT | 0.536 | 0.585 | 0.520 | 0.591 | 0.577 | 0.509 | 0.541 | 0.560 | 0.577 | 0.576 | 0.535 | 0.553 | 0.598 | 0.521 | 0.559 | 0.555 | 0.531 | 0.631 | 0.528 | 0.551 | 0.500 | 0.544 | 0.545 | 0.574 | 0.532 | 0.574 | 0.565 | 0.537 | 0.621 | 0.527 | 0.553 | 0.603 | 0.513 | 0.515 | 0.501 | 0.571 | 0.690 | 0.484 | 0.539 | 0.571 | 0.528 | 0.515 | 0.559 | 0.680 | 0.638 | 0.496 | 0.504 | 0.513 | 0.526 | 0.487 | 0.513 | 0.647 | 0.557 | 0.549 | 0.640 | 0.591 | 0.542 | 0.461 | 0.570 | 0.487 | 0.557 | 0.597 | 0.557 | 0.622 | 0.535 | 0.534 | 0.555 | 0.548 | 0.509 | 0.535 |
| PYTH | 0.493 | 0.545 | 0.488 | 0.559 | 0.549 | 0.483 | 0.516 | 0.536 | 0.556 | 0.556 | 0.517 | 0.537 | 0.581 | 0.507 | 0.547 | 0.544 | 0.521 | 0.625 | 0.524 | 0.548 | 0.497 | 0.542 | 0.544 | 0.573 | 0.532 | 0.574 | 0.566 | 0.538 | 0.623 | 0.530 | 0.556 | 0.606 | 0.519 | 0.523 | 0.509 | 0.579 | 0.701 | 0.495 | 0.550 | 0.584 | 0.541 | 0.528 | 0.574 | 0.698 | 0.657 | 0.513 | 0.523 | 0.531 | 0.545 | 0.507 | 0.534 | 0.669 | 0.578 | 0.574 | 0.664 | 0.616 | 0.570 | 0.489 | 0.600 | 0.519 | 0.591 | 0.630 | 0.594 | 0.665 | 0.580 | 0.583 | 0.609 | 0.605 | 0.566 | 0.596 |
| Pred W | 170.17 | 189.01 | 207.58 | 199.56 | 224.55 | 178.28 | 207.75 | 199.98 | 244.69 | 196.92 | 212.46 | 192.11 | 211.06 | 191.67 | 239.54 | 282.14 | 255.37 | 240.48 | 188.52 | 297.97 | 214.75 | 281.72 | 222.48 | 223.62 | 217.04 | 329.12 | 209.32 | 318.58 | 266.64 | 194.97 | 216.10 | 312.72 | 195.21 | 225.33 | 199.09 | 213.09 | 239.60 | 174.87 | 292.21 | 234.04 | 219.18 | 198.87 | 332.93 | 307.86 | 276.12 | 189.40 | 248.80 | 230.86 | 335.98 | 219.51 | 198.66 | 268.81 | 294.88 | 234.23 | 249.13 | 261.81 | 329.79 | 208.89 | 245.36 | 183.09 | 221.76 | 383.26 | 214.59 | 270.81 | 213.37 | 313.07 | 231.46 | 301.50 | 198.20 | 219.38 |
| Diff | 14.831 | 13.989 | 13.421 | 11.436 | 11.447 | 9.719 | 10.247 | 9.018 | 9.314 | 7.076 | 7.541 | 5.889 | 5.935 | 5.333 | 5.456 | 5.857 | 4.630 | 2.518 | 1.484 | 2.031 | 1.248 | 1.276 | 0.525 | 0.383 | -0.045 | -0.119 | -0.321 | -0.578 | -0.640 | -0.966 | -1.098 | -1.717 | -2.215 | -3.331 | -3.091 | -3.087 | -3.604 | -3.873 | -6.213 | -5.044 | -5.179 | -4.869 | -8.935 | -7.859 | -8.119 | -6.398 | -8.801 | -7.863 | -11.978 | -8.512 | -7.659 | -8.809 | -10.879 | -10.233 | -9.132 | -10.810 | -15.790 | -11.888 | -12.359 | -11.090 | -12.755 | -20.257 | -13.594 | -17.812 | -16.370 | -26.071 | -20.463 | -28.503 | -20.200 | -22.379 |
| Per 30G | 1.316 | 1.231 | 1.011 | 0.999 | 0.886 | 0.839 | 0.776 | 0.764 | 0.658 | 0.610 | 0.555 | 0.512 | 0.497 | 0.441 | 0.368 | 0.336 | 0.300 | 0.194 | 0.126 | 0.120 | 0.089 | 0.076 | 0.041 | 0.030 | -0.003 | -0.006 | -0.026 | -0.029 | -0.045 | -0.077 | -0.090 | -0.097 | -0.179 | -0.234 | -0.241 | -0.260 | -0.307 | -0.347 | -0.358 | -0.391 | -0.394 | -0.403 | -0.457 | -0.539 | -0.555 | -0.565 | -0.567 | -0.582 | -0.600 | -0.611 | -0.642 | -0.649 | -0.653 | -0.735 | -0.743 | -0.751 | -0.797 | -0.889 | -0.912 | -0.981 | -1.003 | -1.043 | -1.148 | -1.339 | -1.402 | -1.416 | -1.672 | -1.772 | -1.807 | -1.839 |
