# Steroidogenesis Enzymes and Genes  Identifiers, Reactions, and Subcellular Localization

| Enzyme (common name) | Gene symbol | EC number | Reaction catalyzed | Subcellular location | Main expressing tissue |
| --- | --- | --- | --- | --- | --- |
| Cholesterol side-chain cleavage enzyme (P450scc) | CYP11A1 | 1.14.15.6 | Cholesterol → Pregnenolone | Mitochondria (inner membrane) | Adrenal, gonads |
| 3β-Hydroxysteroid dehydrogenase | HSD3B2 | 1.1.1.145 | Pregnenolone → Progesterone | Smooth ER | Adrenal, ovary, testis |
| 17α-Hydroxylase/17,20-lyase (P450c17) | CYP17A1 | 1.14.14.19 / 1.14.14.32 | Progesterone → Androgen precursors | Smooth ER | Adrenal, gonads |
| 21-Hydroxylase (P450c21) | CYP21A2 | 1.14.14.16 | Progesterone → 11-deoxycorticosteroids | Smooth ER | Adrenal |
| 11β-Hydroxylase (P450c11β) | CYP11B1 | 1.14.15.4 | 11-deoxycortisol → Cortisol | Mitochondria | Adrenal (zona fasciculata) |
| Aldosterone synthase | CYP11B2 | 1.14.15.4 | Corticosterone → Aldosterone | Mitochondria | Adrenal (zona glomerulosa) |
| Aromatase | CYP19A1 | 1.14.14.1 | Androgens → Estrogens | Smooth ER | Gonads, adipose |
| 5α-Reductase type 2 | SRD5A2 | 1.3.99.5 | Testosterone → DHT | Nuclear envelope/ER | Prostate, skin |
| 17β-Hydroxysteroid dehydrogenase 3 | HSD17B3 | 1.1.1.64 | Androstenedione → Testosterone | Smooth ER | Testis |
