# EU Candidate and Potential Candidate Countries (Application Negotiation Years, Not Membership Year)

| Country | Status | EU Application Year | Negotiations Opened (Year) | Notes |
|---|---|---:|---:|---|
| Turkey | Candidate | 1987 | 2005 | Negotiations stalled |
| North Macedonia | Candidate | 2004 | 2022 | Naming dispute previously |
| Albania | Candidate | 2009 | 2022 | Screening phase |
| Montenegro | Candidate | 2008 | 2012 | Several chapters opened |
| Serbia | Candidate | 2009 | 2014 | Chapters ongoing |
| Bosnia and Herzegovina | Candidate | 2016 | - | Candidate status granted later |
| Ukraine | Candidate | 2022 | - | Accelerated track |
| Moldova | Candidate | 2022 | - | Reform benchmarks |
| Georgia | Potential candidate | 2022 | - | Candidate perspective |
| Kosovo | Potential candidate | - | - | Status dispute |
| Iceland | Former candidate | 2009 | 2010 | Negotiations paused/withdrawn |
| United Kingdom | Third country | - | - | Former member |
