# Fast Cars Mentioned in Music Videos and Lyrics (Pop Culture Index)

| Artist | Song/Video Title | Year | Car Mentioned (Secondary) | Lyric/Scene Cue | Context |
|---|---|---:|---|---|---|
| The Weeknd | Starboy | 2016 | McLaren P1 | Seen in opening shot | Visual prop |
| Jay-Z & Kanye West | Otis | 2011 | Maybach 57 | Custom chopped sequence | Entertainment build |
| Dua Lipa | IDGAF (live clips) | 2018 | Mercedes-AMG GT | Stage visuals | Branding reference |
| Travis Scott | SICKO MODE | 2018 | Lamborghini Aventador | Named in lyric | Status symbol |
| Drake | Nonstop | 2018 | Bentley | Mentioned in lyric | Luxury flex |
| Post Malone | Wow. | 2018 | Bugatti | Mentioned in lyric | Pop-culture shorthand |
| Migos | Motorsport | 2017 | Porsche | Mentioned in lyric | Racing metaphor |
| Cardi B | Bodak Yellow | 2017 | Lamborghini | Mentioned in lyric | Lifestyle reference |
| Rihanna | Shut Up and Drive | 2007 | Mustang | Car-as-metaphor | Pop imagery |
| Prince | Little Red Corvette | 1982 | Corvette | Central metaphor | Pop classic |
| Lana Del Rey | Ride | 2012 | Chevrolet pickup | Road-trip visuals | Americana aesthetic |
| Daft Punk | Around the World (tour visuals) | 2007 | Ferrari | Stage props | Performance set |
