# Beijing 2008 Olympic Games — Medal Distribution (Selected Countries, Gold-Share and Total)

| Country | Gold | Silver | Bronze | Total | Gold Share (Gold/Total) |
|---|---:|---:|---:|---:|---:|
| United States | 36 | 38 | 36 | 110 | 0.327 |
| China | 51 | 21 | 28 | 100 | 0.510 |
| Russia | 23 | 21 | 28 | 72 | 0.319 |
| Great Britain | 19 | 13 | 15 | 47 | 0.404 |
| Australia | 14 | 15 | 17 | 46 | 0.304 |
| Germany | 16 | 10 | 15 | 41 | 0.390 |
| France | 7 | 16 | 17 | 40 | 0.175 |
| South Korea | 13 | 10 | 8 | 31 | 0.419 |
| Italy | 8 | 10 | 10 | 28 | 0.286 |
| Ukraine | 7 | 5 | 15 | 27 | 0.259 |
| Japan | 9 | 6 | 10 | 25 | 0.360 |
| Cuba | 2 | 11 | 11 | 24 | 0.083 |
