# RabbitEars.Info

| Digital Channel | 40.1 | 40.2 | 40.3 | 40.4 |
| --- | --- | --- | --- | --- |
| Display Channel | 41-1 | 41-2 | 41-3 | 41-4 |
| Call Sign | WXTV-DT | WFUT-DT | BOUNCE | GRIT |
| Src ID | 1 | 2 | 3 | 4 |
| PMT PID | 0x0030 | 0x0040 | 0x0050 | 0x0060 |
| Video | 1080i | 1080i | 480i | 480i |
| Dimensions | 1920x1080 | 1920x1080 | 720x480 | 720x480 |
| Aspect Ratio | 16:9 | 16:9 | 4:3 | 4:3 |
| Video PID | 0x0031 | 0x0041 | 0x0051 | 0x0061 |
| Video (Mbps) | 5.85Mbps | 7.05Mbps | 0Mbps | 2.05Mbps |
| PCR PID | 0x0031 | 0x0041 | 0x0051 | 0x0061 |
| Audio Type | DD5.1 | DD5.1 | DD2.0 | DD2.0 |
| Audio PID | 0x0034 | 0x0044 | 0x0054 | 0x0064 |
| Audio Bitrate | 384kbps | 384kbps | 192kbps | 192kbps |
