# City-to-Club Mapping for Romanian Cup Winning Clubs (Examples by City)

| Country | City | Club (Cup Winner) | Notes |
|---|---|---|---|
| Romania | București | Steaua București | Multiple-time cup winner |
| Romania | București | Dinamo București | Multiple-time cup winner |
| Romania | București | Rapid București | Multiple-time cup winner |
| Romania | București | FC Progresul București | Cup winner |
| Romania | Craiova | Universitatea Craiova | Cup winner |
| Romania | Timișoara | Politehnica Timișoara | Cup winner |
| Romania | Timișoara | Ripensia Timișoara | Cup winner |
| Romania | Cluj-Napoca | CFR Cluj | Cup winner |
| Romania | Cluj-Napoca | Universitatea Cluj | Cup winner |
| Romania | Ploiești | Petrolul Ploiești | Cup winner |
| Romania | Arad | UTA Arad | Cup winner |
| Romania | Giurgiu | Astra Giurgiu | Cup winner |
