# Capital City Sights List (Mixed with Lodging and Property Details)

| Entry Type | Capital City | Place / Property | Category | Address/Area | Notes |
|---|---|---|---|---|---|
| Attraction | London | Hyde Park | Park | Central London | Large urban park |
| Property | London | Royal Square Apartments | Apartment | Bayswater | Sleeps 4, kitchen included |
| Attraction | Paris | Notre-Dame Cathedral | Cathedral | Île de la Cité | Exterior viewing during restoration |
| Property | Paris | Seine View Boutique Hotel | Hotel | 5th arrondissement | Breakfast included |
| Attraction | Rome | Roman Forum | Archaeological site | Centro Storico | Combo tickets available |
| Property | Rome | Colosseo Guesthouse | Guesthouse | Monti | Late check-in available |
| Attraction | Berlin | Berlin Cathedral | Cathedral | Museum Island | Dome access |
| Property | Berlin | Mitte City Rooms | Hostel | Mitte | Shared dorms |
| Attraction | Madrid | Puerta del Sol | Square | Centro | Major meeting point |
