# Nearest Neighboring Constellations (IAU sky adjacency-based closest border separation)

| Constellation | Closest neighboring constellation | Relationship type | Notes on proximity basis |
|---|---|---|---|
| Orion | Taurus | Shares boundary | Border contact along Orion–Taurus edge |
| Taurus | Auriga | Shares boundary | Adjacent along northern Taurus border |
| Auriga | Perseus | Shares boundary | Border contact in northern Milky Way region |
| Perseus | Andromeda | Shares boundary | Touching boundary near Perseus–Andromeda border |
| Andromeda | Pegasus | Shares boundary | Adjacent along Andromeda–Pegasus border |
| Pegasus | Aquarius | Shares boundary | Touching boundary along Pegasus southern edge |
| Aquarius | Capricornus | Shares boundary | Adjacent along ecliptic region |
| Capricornus | Sagittarius | Shares boundary | Border contact at Capricornus–Sagittarius edge |
| Sagittarius | Scorpius | Shares boundary | Adjacent at Sagittarius–Scorpius border |
| Scorpius | Libra | Shares boundary | Border contact along western Scorpius |
| Libra | Virgo | Shares boundary | Adjacent along Libra–Virgo border |
| Virgo | Leo | Shares boundary | Border contact along Virgo–Leo border |
