# Typical Nutrition Values — Peanut Butter (Smooth), 32 g (2 Tbsp)

| Nutrient | Amount per serving (32 g) | Unit |
| --- | ---: | --- |
| Calories | 190 | kcal |
| Total Fat | 16.0 | g |
| Saturated Fat | 3.0 | g |
| Trans Fat | 0.0 | g |
| Polyunsaturated Fat | 4.5 | g |
| Monounsaturated Fat | 7.0 | g |
| Cholesterol | 0 | mg |
| Sodium | 140 | mg |
| Total Carbohydrate | 7.0 | g |
| Dietary Fiber | 2.0 | g |
| Total Sugars | 3.0 | g |
| Added Sugars | 2.0 | g |
| Protein | 8.0 | g |
| Vitamin E | 2.4 | mg |
| Magnesium | 55 | mg |
| Potassium | 200 | mg |
