# Google Hardware Products — Review Ratings Summary Across Sources (2023–2024)

| Product | Category | Google Store rating (stars/5) | # Google Store reviews | Amazon rating (stars/5) | # Amazon reviews | Best Buy rating (stars/5) | # Best Buy reviews | Notes |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Pixel 8 Pro | Smartphone | 4.6 | 3,120 | 4.4 | 7,850 | 4.7 | 1,940 | Flagship model comparison across three retailers |
| Pixel 8 | Smartphone | 4.5 | 2,760 | 4.3 | 6,110 | 4.6 | 1,520 | Review outcomes only (no specs) |
| Pixel Watch 2 | Wearable | 4.2 | 980 | 4.1 | 2,430 | 4.4 | 620 | Smartwatch ratings tend to vary by ecosystem |
| Pixel Buds Pro | Audio | 4.3 | 1,540 | 4.2 | 11,900 | 4.5 | 1,180 | true wireless earbuds |
| Nest Thermostat | Smart home | 4.0 | 1,120 | 4.3 | 29,400 | 4.2 | 3,310 | Thermostat shows retailer-to-retailer gaps |
| Nest Cam (Battery) | Smart home | 3.9 | 860 | 4.1 | 9,220 | 4.0 | 1,070 | Security camera ratings summarized |
| Chromecast with Google TV (4K) | Streaming | 4.4 | 2,210 | 4.6 | 67,800 | 4.5 | 5,240 | Popular item with high volume reviews |
| Pixel Tablet | Tablet | 4.1 | 730 | 4.0 | 1,980 | 4.2 | 410 | Tablet review scores across sources |
| Nest Wifi Pro | Networking | 3.8 | 540 | 4.0 | 4,760 | 3.9 | 690 | Mesh router ratings tend to be polarized |
| Fitbit Charge 6 | Fitness tracker | 4.0 | 1,010 | 3.9 | 3,350 | 4.1 | 450 | Wearable ratings summarized for quick scan |
