# Common Household Cleaners - Ingredient Listing with CAS (No Strength Values Provided)

| Product Type | Ingredient (single chemical) | CAS No. | Function | Notes |
| --- | --- | --- | --- | --- |
| Glass cleaner | Isopropyl alcohol | 67-63-0 | Solvent | Often paired with water and surfactant |
| Glass cleaner | Ammonia (aqueous) | 1336-21-6 | pH adjuster/cleaning booster | Listed as "ammonium hydroxide" on some labels |
| All-purpose cleaner | Sodium lauryl sulfate | 151-21-3 | Surfactant | Foaming agent |
| All-purpose cleaner | Sodium citrate | 68-04-2 | Builder/chelant | Water softening |
| Bathroom cleaner | Hydrochloric acid | 7647-01-0 | Descaler | Used for mineral scale |
| Laundry detergent | Sodium carbonate | 497-19-8 | Alkalinity builder | Washing soda |
| Dishwashing liquid | Cocamidopropyl betaine | 61789-40-0 | Amphoteric surfactant | Mildness booster |
| Bleach | Sodium hypochlorite | 7681-52-9 | Oxidizer | Disinfecting agent |
| Drain opener | Sodium hydroxide | 1310-73-2 | Caustic base | Grease/hair breakdown |
| Fabric softener | Dihydrogenated tallow dimethyl ammonium chloride | 61789-80-8 | Cationic surfactant | Softening agent |
