# 1914 NSWRFL season - Wikipedia, the free encyclopedia

|   | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Team | South Sydney | Newtown | Eastern Suburbs | Balmain | Glebe | North Sydney | Western Suburbs | Annandale |
| Pld | 14 | 14 | 14 | 14 | 14 | 14 | 14 | 14 |
| W | 11 | 11 | 8 | 6 | 7 | 5 | 3 | 1 |
| D | 1 | 0 | 0 | 4 | 1 | 1 | 0 | 1 |
| L | 2 | 3 | 6 | 4 | 6 | 8 | 11 | 12 |
| PF | 166 | 185 | 164 | 132 | 187 | 158 | 104 | 106 |
| PA | 79 | 111 | 122 | 111 | 140 | 165 | 231 | 243 |
| PD | +87 | +74 | +42 | +21 | +47 | -7 | -127 | -137 |
| Pts | 23 | 22 | 16 | 16 | 15 | 11 | 6 | 3 |
