# Olympus E-system Digital SLR Bodies (Four Thirds) — Model List and Key Notes

| Series | DSLR model | Sensor format | Market position | Notable feature / note | Release year (approx.) |
| --- | --- | --- | --- | --- | --- |
| E-4xx (entry) | Olympus E-410 | Four Thirds | Entry-level | Compact body, Live View era start | 2007 |
| E-4xx (entry) | Olympus E-420 | Four Thirds | Entry-level | Very small DSLR, lighter refresh of E-410 | 2008 |
| E-5xx (entry) | Olympus E-510 | Four Thirds | Entry-level | In-body image stabilization (IBIS) | 2007 |
| E-5xx (entry) | Olympus E-520 | Four Thirds | Entry-level | Updated sensor/processing vs E-510 | 2008 |
| E-6xx (mid) | Olympus E-620 | Four Thirds | Mid-range | Tilt/swivel LCD, compact midrange body | 2009 |
| E-3 (pro) | Olympus E-3 | Four Thirds | Professional | Weather-sealed pro body, fast AF for era | 2007 |
| E-5 (pro) | Olympus E-5 | Four Thirds | Professional | Flagship Four Thirds DSLR, weather-sealed | 2010 |
| E-1 (pro) | Olympus E-1 | Four Thirds | Professional | Early Four Thirds flagship | 2003 |
| E-3x (pro) | Olympus E-30 | Four Thirds | Prosumer | Advanced controls/features below E-3 | 2008 |
| E-1x (legacy) | Olympus E-10 | 2/3-inch class (fixed-lens SLR-style) | Prosumer | Not interchangeable-lens DSLR; often confused in lists | 2000 |
| E-1x (legacy) | Olympus E-20 | 2/3-inch class (fixed-lens SLR-style) | Prosumer | Not interchangeable-lens DSLR; SLR-like design | 2001 |
