# Used Phone Listings Snapshot  Carrier Compatibility, Included Accessories, and Total Cost (Taxes Shipping Not Included)

| Listing ID | Phone model | Seller type | Platform / store | Condition | Network compatibility | Carrier lock | Battery health (reported) | Included accessories | Asking price (USD) | Shipping / pickup | Buyer protections |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| A-1021 | iPhone 13 (128GB) | Refurbisher | Back Market | Very Good | GSM + CDMA (varies by SKU) | Unlocked | 85%+ guaranteed | Cable | 389 | Shipped | 12-mo warranty, 30-day returns |
| A-1044 | iPhone 12 (64GB) | Individual | Swappa | Good | GSM + CDMA | Unlocked | 88% (seller claim) | Box + cable | 310 | Shipped | Platform dispute process |
| A-1107 | Galaxy S22 (128GB) | Marketplace reseller | eBay | Good | GSM (US) | Verizon locked | Not stated | Phone only | 245 | Shipped | eBay Money Back Guarantee |
| A-1189 | Galaxy S21 (128GB) | Individual | Facebook Marketplace | Fair | GSM | Unlocked | Not stated | Case | 190 | Local pickup | null/depends on payment method |
| A-1233 | Pixel 7 (128GB) | Refurbisher | Amazon Renewed | Excellent | GSM (US) | Unlocked | Not stated | Cable | 329 | Shipped | 90-day Renewed guarantee |
| A-1305 | Pixel 6a (128GB) | Carrier outlet | T-Mobile Certified Pre-Owned | Good | GSM (T-Mobile) | Locked (eligible after policy) | Not stated | Cable | 149 | Shipped | 30-day returns, limited warranty |
| A-1372 | iPhone SE (2022, 64GB) | Individual | Craigslist | Good | GSM + CDMA | Unlocked | 92% (screenshot) | Charger | 160 | Local pickup | null |
| A-1420 | Moto G Power (2022, 64GB) | Retailer open-box | Best Buy | Open-Box | GSM + CDMA (factory unlocked) | Unlocked | Not stated | Full retail kit | 109 | Pickup or shipped | Return window per store policy |
| A-1499 | OnePlus 10T (128GB) | Individual | Swappa | Mint | GSM | Unlocked | Not stated | Box + fast charger | 240 | Shipped | Platform dispute process |
| A-1556 | iPhone 11 (64GB) | EcoATM / kiosk reseller | Kiosk resale site | Fair | GSM + CDMA | Unlocked | Not stated | Phone only | 165 | Shipped | Limited return; short warranty |
