# World Countries and Their Currencies (All Regions Mixed)

| Country | Region | Currency |
|---|---|---|
| Japan | Asia | Japanese yen |
| India | Asia | Indian rupee |
| Thailand | Asia | Thai baht |
| Germany | Europe | Euro |
| France | Europe | Euro |
| Brazil | South America | Brazilian real |
| Canada | North America | Canadian dollar |
| Nigeria | Africa | Nigerian naira |
| Australia | Oceania | Australian dollar |
| United Arab Emirates | Asia | UAE dirham |
| Mexico | North America | Mexican peso |
| South Africa | Africa | South African rand |
