# Olympus DSLR lens ecosystem (Four Thirds)  lens series labels, mount compatibility, and example models

| Lens system / mount | Brand label used by Olympus | Series / label seen in names | What the label implies | Example lens models (interchangeable) | DSLR body relevance |
|---|---|---|---|---|---|
| Four Thirds (FT) | Zuiko Digital | (Base) Zuiko Digital | Standard FT DSLR lens line | 14-45mm f/3.5-5.6; 40-150mm f/4-5.6; 25mm f/2.8 | Native lens mount for Olympus E-series DSLRs |
| Four Thirds (FT) | Zuiko Digital | High Grade (HG) | Higher build/optics tier vs base | 14-54mm f/2.8-3.5; 50-200mm f/2.8-3.5 | Native FT; frequently recommended upgrades |
| Four Thirds (FT) | Zuiko Digital | Super High Grade (SHG) | Top professional tier | 7-14mm f/4.0; 90-250mm f/2.8; 300mm f/2.8 | Native FT; flagship lenses for Olympus DSLRs |
| Four Thirds (FT) | Zuiko Digital | Pro ("Pro") | Often used alongside HG/SHG to denote pro zooms | 12-60mm f/2.8-4.0 SWD; 14-35mm f/2.0; 35-100mm f/2.0 | Native FT; commonly discussed when narrowing lens choices |
| Four Thirds (FT) | Zuiko Digital | SWD | Supersonic Wave Drive focusing motor variant | 12-60mm f/2.8-4.0 SWD; 50-200mm f/2.8-3.5 SWD | Still FT DSLR lenses; label matters for autofocus behavior |
| Four Thirds (FT) | Zuiko Digital | Macro | Close-focus / 1:2–1:1 class macro lenses in FT | 50mm f/2.0 Macro; 35mm f/3.5 Macro | Native FT; key part of lens ecosystem |
| Four Thirds (FT) | Zuiko Digital | Fisheye | Specialty wide-angle rendering | 8mm f/3.5 Fisheye | Native FT; niche but referenced lens option |
| Four Thirds (FT) | Zuiko Digital | Teleconverter (FT accessory) | Optical multiplier for compatible FT lenses | EC-14; EC-20 | Impacts availability/choices within FT DSLR lens setup |
| Four Thirds (FT) | Third-party (Sigma) | EX / DC / HSM (varies) | Third-party naming used on FT-mount lenses | 30mm f/1.4 (DC); 10-20mm f/4-5.6 (DC) | Expands the FT DSLR lens ecosystem beyond Olympus |
| Four Thirds (FT) | Third-party (Panasonic Leica D) | Leica D | Panasonic/Leica-branded FT lenses | 25mm f/1.4 Leica D; 14-50mm f/2.8-3.5 Leica D | Alternative native FT lenses usable on Olympus DSLRs |
| Four Thirds (FT) | Olympus (adapter use case) | OM via adapter (legacy) | Manual-focus legacy OM lenses adapted (not native) | OM Zuiko 50mm f/1.8; OM Zuiko 24mm f/2.8 | Mentioned in DSLR lens discussions as an availability workaround |
