# U.S. States  Capital City and Largest City (Population Rank Included)

| State | Capital City | Largest City | Largest City Pop. Rank (US) | Notes |
| --- | --- | --- | --- | --- |
| California | Sacramento | Los Angeles | 2 | Capital is not the largest city |
| Texas | Austin | Houston | 4 | Largest metro differs from capital |
| Florida | Tallahassee | Jacksonville | 12 | Jacksonville is largest by area too |
| New York | Albany | New York City | 1 | NYC is the largest city in the U.S. |
| Illinois | Springfield | Chicago | 3 | Chicago dominates state economy |
| Pennsylvania | Harrisburg | Philadelphia | 6 | Philadelphia is the largest city |
| Arizona | Phoenix | Phoenix | 5 | Capital is also the largest city |
| Colorado | Denver | Denver | 19 | Consolidated city-county |
| Georgia | Atlanta | Atlanta | 37 | Major air hub |
| Nevada | Carson City | Las Vegas | 24 | Las Vegas is largest; Carson City is small |
| Alaska | Juneau | Anchorage | 67 | Capital is not connected by road |
| Hawaii | Honolulu | Honolulu | 55 | Capital on Oʻahu |
