# Canadian Dividend Stocks — Yield and Distribution Coverage (Payout FFO AFFO DCF)

| Ticker | Company | Industry | Dividend Yield | Distribution Metric Type | Payout / Coverage | Notes |
|---|---|---|---:|---|---:|---|
| BCE.TO | BCE Inc. | Telecom | 6.6% | EPS payout | 92% | High but common for telecoms |
| ENB.TO | Enbridge Inc. | Energy Infrastructure | 7.3% | DCF payout | 65% | Uses distributable cash flow |
| TRP.TO | TC Energy | Energy Infrastructure | 7.0% | DCF payout | 75% | Pipeline-style cash flow metrics |
| FTS.TO | Fortis Inc. | Utilities | 3.9% | EPS payout | 70% | Regulated utility profile |
| T.TO | Telus Corp. | Telecom | 6.2% | EPS payout | 86% | Dividend-growth telecom |
| BNS.TO | Bank of Nova Scotia | Banks | 6.0% | EPS payout | 55% | Bank dividends often tied to earnings cycle |
| CM.TO | CIBC | Banks | 5.2% | EPS payout | 50% | Major Canadian bank |
| NWH.UN.TO | NorthWest Healthcare REIT | REIT | 6.8% | AFFO payout | 90% | REITs typically use AFFO |
| SRU.UN.TO | SmartCentres REIT | REIT | 7.4% | FFO payout | 95% | Retail-focused REIT |
| PPL.TO | Pembina Pipeline | Midstream | 5.5% | DCF payout | 70% | Midstream distribution framework |
