# U.S. States  Capital (Seat of Government) and Largest City by Population (Selected States)

| Region | State | Capital (Seat of Government) | Largest City (by Population) |
| --- | --- | --- | --- |
| West | California | Sacramento | Los Angeles |
| West | Nevada | Carson City | Las Vegas |
| West | Arizona | Phoenix | Phoenix |
| West | Colorado | Denver | Denver |
| South | Texas | Austin | Houston |
| South | Florida | Tallahassee | Jacksonville |
| South | Georgia | Atlanta | Atlanta |
| Midwest | Illinois | Springfield | Chicago |
| Midwest | Ohio | Columbus | Columbus |
| Northeast | New York | Albany | New York City |
