# Central Bank Policy Rates and Operating Targets by Economy (with Instrument Details)

| Economy | Central Bank | Policy Instrument | Target/Facility | Effective Rate | Corridor (Lend/Deposit) | Meeting Frequency |
|---|---|---|---|---:|---|---|
| United States | Federal Reserve | Target Range | Fed Funds Rate | 5.25% | 5.50% / 5.25% | 8 per year |
| Euro Area | ECB | Main Refinancing Ops | MRO | 4.50% | 4.75% / 4.00% | 8 per year |
| United Kingdom | Bank of England | Bank Rate | Official Rate | 5.25% | 5.50% / 5.00% | 8 per year |
| Japan | Bank of Japan | Policy Rate | Overnight Call | 0.10% | 0.25% / -0.10% | 8 per year |
| Canada | Bank of Canada | Target Rate | Overnight | 5.00% | 5.25% / 4.75% | 8 per year |
| Australia | RBA | Cash Rate Target | Cash Rate | 4.35% | 4.60% / 4.10% | 11 per year |
| Brazil | Banco Central do Brasil | Selic Target | Selic | 11.75% | 12.25% / 11.25% | 8 per year |
| India | RBI | Policy Repo | Repo | 6.50% | 6.75% / 6.25% | 6 per year |
| South Africa | SARB | Repo Rate | Repo | 8.25% | 8.75% / 7.75% | 6 per year |
| Mexico | Banxico | Overnight Interbank | TIIE Target | 11.25% | 11.75% / 10.75% | 8 per year |
