# Table 1 - Significant Changes in Predicted Accident Rates Attributed to the Speed-Limit Increases on Rural Interstates | Bureau of Transportation Statistics

| State | Alabama | Arizona | Arkansas | Florida | Georgia | Illinois | Iowa | Kansas | Maine | Maryland | Michigan | Minnesota | Missouri | Nebraska | Nevada | New Hampshire | New Mexico | North Carolina | Ohio | Pennsylvania | Tennessee | Texas | Virginia | Washington | West Virginia | Wisconsin | U.S. totals | Percentage change |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| First change, percent |  | 41.0 | 32.6 |  |  | 21.9 | 35.8 | 23.1 | 18.4 |  | 46.7 | 25.7 | 13.0 | 35.5 |  | 21.4 | 15.8 | 42.6 | 46.6 |  | 15.5 |  | 31.6 | 24.5 | 46.2 | 24.3 |  |  |
| Second change, percent | 24.8 |  |  | 37.2 | 30.0 |  |  |  |  | 37.4 |  |  | 42.2 |  | 27.1 |  | 25.5 |  |  | 36.4 | 40.4 | 18.0 |  |  |  |  |  |  |
| 1986 crashes | 62 | 96 | 26 | 105 | 66 | 48 | 12 | 17 | 13 | 20 | 14 | 9 | 58 | 12 | 22 | 5 | 66 | 40 | 34 | 56 | 53 | 164 | 39 | 26 | 14 | 15 | 1,834 |  |
| 1987 crashes | 53 | 126 | 30 | 96 | 52 | 59 | 21 | 22 | 8 | 17 | 34 | 19 | 53 | 12 | 35 | 6 | 103 | 58 | 54 | 68 | 70 | 195 | 39 | 32 | 13 | 13 | 2,141 | 16.74 |
| 1988 crashes | 57 | 116 | 34 | 153 | 65 | 73 | 29 | 24 | 20 | 19 | 44 | 21 | 54 | 20 | 32 | 19 | 78 | 76 | 47 | 69 | 73 | 236 | 64 | 40 | 29 | 24 | 2,391 | 11.68 |
| 1995 crashes | 49 | 100 | 28 | 102 | 50 | 58 | 20 | 27 | 9 | 16 | 34 | 15 | 66 | 19 | 44 | 6 | 87 | 55 | 45 | 52 | 74 | 201 | 74 | 35 | 38 | 16 | 2,210 |  |
| 1996 crashes | 62 | 103 | 38 | 116 | 100 | 68 | 21 | 18 | 8 | 15 | 46 | 15 | 87 | 21 | 53 | 10 | 85 | 71 | 46 | 64 | 86 | 220 | 59 | 43 | 48 | 27 | 2,441 | 10.45 |
| 1997 crashes | 79 | 98 | 28 | 166 | 73 | 71 | 22 | 23 | 12 | 26 | 40 | 12 | 93 | 22 | 44 | 10 | 105 | 50 | 44 | 54 | 70 | 217 | 71 | 30 | 40 | 25 | 2,518 | 3.15 |
| 1998 crashes | 65 | 140 | 46 | 133 | 85 | 74 | 21 | 14 | 14 | 18 | 46 | 31 | 98 | 28 | 62 | 8 | 102 | 53 | 39 | 67 | 97 | 200 | 62 | 39 | 34 | 20 | 2,591 | 2.90 |
