# Common Hormone-Based Medications and Their Main Effects

| Drug / Product | Active hormone or analog | Produced by (manufacturer/type) | Primary clinical use | Main physiologic effect targeted | Notes |
|---|---|---|---|---|---|
| Levothyroxine | T4 (thyroxine) | Synthetic | Hypothyroidism | Raises basal metabolic rate | Medication, not endogenous hormone summary |
| Liothyronine | T3 (triiodothyronine) | Synthetic | Severe hypothyroidism | Rapid metabolic activation | Shorter half-life than T4 |
| Hydrocortisone | Cortisol | Synthetic/natural-identical | Adrenal insufficiency | Anti-inflammatory, stress replacement | Glucocorticoid drug |
| Prednisone | Cortisol-like glucocorticoid | Synthetic | Autoimmune/inflammation | Immunosuppression | Prodrug (prednisolone) |
| Desmopressin | ADH analog | Synthetic peptide | Diabetes insipidus | Water retention via kidneys | V2-selective |
| Oxytocin (Pitocin) | Oxytocin | Synthetic peptide | Labor induction | Uterine contractions | Hospital use |
| Insulin glargine | Insulin analog | Recombinant | Diabetes mellitus | Lowers blood glucose | Long-acting |
| Medroxyprogesterone | Progestin | Synthetic | Contraception, AUB | Endometrial stabilization | Not progesterone itself |
| Testosterone cypionate | Testosterone ester | Synthetic | Hypogonadism | Androgen replacement | Injectable depot |
