# Japanese Pro Wrestlers Overview (Ring Names, Key Championships, Debut Era, Major Recognition)

| Wrestler | Ring name (if different) | Main Japanese promotion(s) | Key championship(s) held | First major title (year) | Major recognition | Recognition year |
|---|---|---|---|---|---|---|
| Mitsuharu Misawa | Mitsuharu Misawa | AJPW, NOAH | GHC Heavyweight Championship; Triple Crown Heavyweight Championship | 1992 | Wrestling Observer Hall of Fame | 1996 |
| Kenta Kobashi | Kenta Kobashi | AJPW, NOAH | GHC Heavyweight Championship; Triple Crown Heavyweight Championship | 1997 | Wrestling Observer Hall of Fame | 2011 |
| Naomichi Marufuji | Naomichi Marufuji | NOAH | GHC Heavyweight Championship | 2006 | Tokyo Sports MVP | 2016 |
| Go Shiozaki | Go Shiozaki | NOAH, AJPW | GHC Heavyweight Championship | 2009 | Tokyo Sports Best Bout (with Katsuhiko Nakajima) | 2020 |
| Takashi Sugiura | Takashi Sugiura | NOAH | GHC Heavyweight Championship | 2009 | Tokyo Sports Outstanding Performance | 2009 |
| KENTA (NJPW) | KENTA | NOAH, NJPW | GHC Heavyweight Championship; NEVER Openweight Championship | 2012 | WWE NXT Year-End Award (Rivalry) | 2015 |
| Shinsuke Nakamura | Shinsuke Nakamura | NJPW | IWGP Intercontinental Championship; IWGP Heavyweight Championship | 2003 | Tokyo Sports MVP | 2013 |
| Hiroshi Tanahashi | Hiroshi Tanahashi | NJPW | IWGP Heavyweight Championship | 2006 | Tokyo Sports MVP | 2011 |
| Tomohiro Ishii | Tomohiro Ishii | NJPW | NEVER Openweight Championship | 2014 | Wrestling Observer Best Brawler | 2013 |
| Tetsuya Naito | Tetsuya Naito | NJPW | IWGP Heavyweight Championship; IWGP Intercontinental Championship | 2016 | Tokyo Sports MVP | 2017 |
| Jun Akiyama | Jun Akiyama | AJPW, NOAH | GHC Heavyweight Championship; Triple Crown Heavyweight Championship | 2002 | Tokyo Sports Outstanding Performance | 2003 |
