# Topical Antifungal Agents for Common Superficial Fungal Infections (Generic Brand and Key Notes)

| Drug class | Generic name | Common brand examples | Formulations | Typical antifungal use focus | Key notes (therapy-focused) |
|---|---|---|---|---|---|
| Azole (imidazole) | Clotrimazole | Lotrimin AF, Mycelex | Cream, solution, troche | Tinea (pedis/cruris/corporis), cutaneous candidiasis, oral thrush (troche) | Often OTC for skin; troches used for oropharyngeal candidiasis |
| Azole (imidazole) | Miconazole | Micatin, Monistat (skin) | Cream, powder, spray | Tinea infections, cutaneous candidiasis | Multiple OTC dosage forms; useful for moist intertriginous areas |
| Azole (imidazole) | Ketoconazole | Nizoral | Cream, shampoo | Seborrheic dermatitis (Malassezia), tinea versicolor, tinea corporis/cruris | Shampoo/cream used topically; avoids systemic exposure |
| Azole (triazole) | Terconazole | Terazol | Vaginal cream, suppository | Vulvovaginal candidiasis | Prescription intravaginal azole option |
| Allylamine | Terbinafine | Lamisil AT | Cream, gel, spray | Dermatophyte tinea (esp. tinea pedis) | Fungicidal vs dermatophytes; short-course regimens common |
| Allylamine | Naftifine | Naftin | Cream, gel | Tinea pedis/cruris/corporis | Useful topical alternative in dermatophyte infection |
| Benzylamine | Butenafine | Lotrimin Ultra | Cream | Tinea pedis/cruris/corporis | Often once-daily topical options available |
| Polyene | Nystatin | Mycostatin, Nystop | Cream, ointment, powder, oral suspension | Cutaneous/oral candidiasis (not dermatophytes) | Choose for Candida; not effective for tinea (dermatophytes) |
| Hydroxypyridone | Ciclopirox | Loprox, Penlac | Cream, gel, shampoo, nail lacquer | Tinea, seborrheic dermatitis; onychomycosis (lacquer) | Nail lacquer requires long duration and adherence |
| Thiocarbamate | Tolnaftate | Tinactin | Cream, powder, spray | Tinea pedis/cruris/corporis | Common OTC option for dermatophyte infections |
