# Common Non-Opioid NSAID Pain Relievers (Generic and Brand Names)

| NSAID (Generic) | Common Brand Names | Dosage Form Examples | Primary Use (Pain/Inflammation) | Notes |
|---|---|---|---|---|
| Ibuprofen | Advil, Motrin | Oral tablet/capsule, suspension | Mild–moderate pain; inflammation | Nonselective COX inhibitor |
| Naproxen | Aleve, Naprosyn | Oral tablet, EC tablet | Musculoskeletal pain; inflammatory pain | Longer half-life than ibuprofen |
| Diclofenac | Voltaren, Cataflam | Oral tablet, topical gel/patch | Arthritis and localized inflammatory pain | Topical options for localized pain |
| Ketorolac | Toradol, Sprix | Oral tablet, injection, nasal spray | Short-term moderate–severe pain | Typically limited duration due to GI/renal risk |
| Indomethacin | Indocin | Oral capsule, suppository | Inflammatory pain (e.g., gout flares) | Often more GI/CNS side effects |
| Meloxicam | Mobic | Oral tablet/suspension | Osteoarthritis/RA pain and inflammation | Preferential COX-2 at lower doses |
| Celecoxib | Celebrex | Oral capsule | Pain and inflammation with lower GI ulcer risk vs nonselective | COX-2 selective |
| Piroxicam | Feldene | Oral capsule | Chronic inflammatory pain | Long half-life; higher GI risk |
| Sulindac | Clinoril | Oral tablet | Pain and inflammation | Prodrug; nonselective |
| Etodolac | Lodine | Oral tablet/capsule | Pain and inflammation | Some COX-2 preference |
| Nabumetone | Relafen | Oral tablet | Chronic pain/inflammation | Nonacidic prodrug |
| Mefenamic acid | Ponstel | Oral capsule | Acute pain (e.g., dysmenorrhea) | Typically short-term use |
