# RabbitEars.Info

| Digital Channel | 38.4 | 38.3 | 38.5 | 38.6 |
| --- | --- | --- | --- | --- |
| Display Channel | 05-3 | 09-1 | 09-3 | 09-4 |
| Call Sign | WNYW SD | WWOR-TV | Buzzr | MundoFx |
| Src ID | 4 | 3 | 5 | 6 |
| PMT PID | 0x0040 | 0x0030 | 0x0050 | 0x0060 |
| Video | 480i | 720p | 480i | 480i |
| Dimensions | 704x480 | 1280x720 | 704x480 | 704x480 |
| Aspect Ratio | 4:3 | 4:3 | 4:3 | 16:9 |
| Video PID | 0x0041 | 0x0031 | 0x0051 | 0x0061 |
| Video (Mbps) | 2.05 ‑ 2.75 | 8.95 ‑ 12.4 | 2.05 ‑ 2.85 | 2.45Mbps |
| PCR PID | 0x0041 | 0x0031 | 0x0051 | 0x0061 |
| Audio Type | DD2.0 | DD5.1 | DD2.0 | DD2.0 |
| Audio PID | 0x0044 | 0x0034 | 0x0054 | 0x0064 |
| Audio Bitrate | 256kbps | 448kbps | 192kbps | 192kbps |
