# Cigarette Brand Market Share by Retail Volume (United States) — Selected Brands

| Brand | Market Share (%) | Share Rank | Market/Region Covered | Year/Period | Metric Basis | Notes |
| --- | ---: | ---: | --- | --- | --- | --- |
| Marlboro | 42.1 | 1 | United States | 2023 (FY) | Retail cigarette volume | Dominant premium brand |
| Newport | 10.4 | 2 | United States | 2023 (FY) | Retail cigarette volume | Menthol segment strength |
| Camel | 7.5 | 3 | United States | 2023 (FY) | Retail cigarette volume | Includes core Camel line |
| Pall Mall | 7.0 | 4 | United States | 2023 (FY) | Retail cigarette volume | Value-focused positioning |
| American Spirit | 3.0 | 5 | United States | 2023 (FY) | Retail cigarette volume | Natural/organic positioning |
| Winston | 2.6 | 6 | United States | 2023 (FY) | Retail cigarette volume | Discount and legacy brand |
| Parliament | 2.3 | 7 | United States | 2023 (FY) | Retail cigarette volume | Premium niche |
| L&M | 1.9 | 8 | United States | 2023 (FY) | Retail cigarette volume | Value segment |
| Kool | 1.2 | 9 | United States | 2023 (FY) | Retail cigarette volume | Primarily menthol |
| Virginia Slims | 0.9 | 10 | United States | 2023 (FY) | Retail cigarette volume | Declining legacy brand |
