# ERP Software Vendor Directory (Manufacturing) — Headquarters and Contact Overview

| Vendor | ERP Product Line | Headquarters City | Headquarters Country | Phone | Website | Primary Industry Focus | Notes |
| --- | --- | --- | --- | --- | --- | --- | --- |
| Epicor | Kinetic | Austin | USA | +1-512-555-0141 | epicor.com | Manufacturing | Regional offices worldwide |
| Infor | CloudSuite Industrial | New York | USA | +1-212-555-0188 | infor.com | Manufacturing | Part of Koch Industries |
| Aptean | Aptean ERP | Alpharetta | USA | +1-678-555-0102 | aptean.com | Manufacturing | Multiple vertical editions |
| Sage | Sage X3 | Newcastle | UK | +44-191-555-0110 | sage.com | Distribution | Strong SMB footprint |
| IFS | IFS Cloud | Linköping | Sweden | +46-13-555-0199 | ifs.com | Asset-intensive | Aerospace & defense focus |
| Acumatica | Acumatica Cloud ERP | Bellevue | USA | +1-425-555-0157 | acumatica.com | Mid-market | Partner-led delivery |
| QAD | QAD Adaptive ERP | Santa Barbara | USA | +1-805-555-0120 | qad.com | Manufacturing | Automotive & life sciences |
| Unit4 | Unit4 ERP | Dordrecht | Netherlands | +31-78-555-0133 | unit4.com | Services | Public sector presence |
| SYSPRO | SYSPRO ERP | Johannesburg | South Africa | +27-11-555-0166 | syspro.com | Manufacturing | Strong in EMEA/APAC |
| Odoo | Odoo | Louvain-la-Neuve | Belgium | +32-10-555-0177 | odoo.com | Cross-industry | Open-source core |
| Microsoft | Dynamics 365 | Redmond | USA | +1-425-555-0100 | microsoft.com | Cross-industry | Large partner ecosystem |
