# Fast & Furious Crossroads (Video Game) — Story Mode Car Roster

| Chapter / Mission | Vehicle | Vehicle class | Notable ability / tuning flavor | Playable character / crew | Outcome |
| --- | --- | --- | --- | --- | --- |
| Prologue: The Crew | 1970 Dodge Charger R/T | Muscle | Heavy acceleration, ramming-friendly | Dominic Toretto | Active |
| Prologue: The Crew | Nissan Skyline GT-R (R34) | Sports | Balanced grip build for street sprints | Brian O'Conner | Active |
| Prologue: The Crew | Toyota Supra (Mk IV) | Sports | High top-speed tune for highway pulls | Tej Parker | Active |
| Mission: City Extraction | Chevrolet Camaro SS | Muscle | Short gearing for alley bursts | Roman Pearce | Damaged |
| Mission: Dock Pursuit | Dodge Challenger SRT | Muscle | Nitro-focused setup for straight-line speed | Letty Ortiz | Active |
| Mission: Safehouse Run | Jeep Wrangler (tactical) | Off-road | Torque + stability for debris routes | Team support | Active |
| Mission: Highway Ambush | Ford GT | Supercar | High-speed handling package | Antagonist crew | Destroyed |
| Mission: Final Chase | McLaren 570S | Supercar | Drift/traction swap tuning | Team (switchable) | Active |
| Mission: Final Chase | W Motors Lykan Hypersport | Hypercar | Extreme top speed; high-risk control | Antagonist leader | Destroyed |
